*
	4	STATUS	0	1	3	4	5	19	29	40	49
*	record	OrderNo	Type	Key	Name	pStation	pStates	pALARM_GROUP	pConfiguredAORGroup	ConfigNormalState
	1	1	1	'01001001'	'SCADA'	1	203	1	1	1
	2	2	1	'01001002'	'ALFULL'	1	203	1	1	0
	3	3	1	'01001003'	'HostA'	1	212	1	1	0
	4	4	1	'01001004'	'HostB'	1	212	1	1	0
	5	5	1	'01001005'	'Annunciation'	1	202	1	1	1
	6	6	1	'01001006'	'Logger1'	1	208	1	1	1
	7	7	1	'01001007'	'PMPAGEN_RTU'	1	208	1	1	1
	8	8	1	'01001008'	'GREER_SRV'	1	208	1	1	1
	9	9	1	'01037001'	'SYSTEM_LOAD_STATUS'	37	214	1	1	0
	10	10	1	'01037002'	'CATAWBA1_GROSS_STATUS'	37	214	1	1	0
	11	11	1	'01037003'	'CATAWBA2_GROSS_STATUS'	37	214	1	1	0
	12	12	1	'01037004'	'MCGUIRE2_GROSS_STATUS'	37	214	1	1	0
	13	13	1	'01037005'	'MCGUIRE1_GROSS_STATUS'	37	214	1	1	0
	14	14	1	'01037006'	'CATAWBA1_NET_OUTPUT_STATUS'	37	214	1	1	0
	15	15	1	'01001009'	'GRE_CHK_CL'	1	208	1	1	1
	16	16	1	'01001010'	'EAS_CHK_CL'	1	208	1	1	1
	17	17	1	'01001011'	'LAU_CHK_CL'	1	208	1	1	1
	18	18	1	'01001012'	'ABB_CL'	1	208	1	1	1
	19	19	1	'01001013'	'CLI_CL'	1	208	1	1	1
	20	20	1	'01007001'	'AC_LOSS_Status'	7	215	1	1	1
	21	21	1	'01001014'	'EAS_PRI_CL'	1	208	1	1	1
	22	22	1	'01001015'	'GAF_PRI_CL'	1	208	1	1	1
	23	23	1	'01008001'	'AC_LOSS_Status'	8	215	1	1	1
	24	24	1	'01001016'	'ROC_CHK_CL'	1	208	1	1	1
	25	25	1	'01001017'	'NEW_CHK_CL'	1	208	1	1	1
	26	26	1	'01037007'	'CATAWBA2_NET_OUTPUT_STATUS'	37	214	1	1	0
	27	27	1	'01037008'	'MCGUIRE2_NET_OUTPUT_STATUS'	37	214	1	1	0
	28	28	1	'01037009'	'MCGUIRE1_NET_OUTPUT_STATUS'	37	214	1	1	0
	29	29	1	'01001018'	'DUKE_ALT_SRV'	1	208	1	1	1
	30	30	1	'01001019'	'GRE_PRI_CL'	1	208	1	1	1
	31	31	1	'01001020'	'SI_CL'	1	208	1	1	1
	32	32	1	'01001021'	'PMPAGEN_CL'	1	208	1	1	1
	33	33	1	'01025001'	'AC_LOSS_Status'	25	215	1	1	1
	34	34	1	'01001022'	'GAF_CHK_CL'	1	208	1	1	1
	35	35	1	'01004001'	'ACLOSS_Status'	4	215	1	1	1
	36	36	1	'01001023'	'LAU_PRI_CL'	1	208	1	1	1
	37	37	1	'01037010'	'DS1_SIGNAL_ECHO_STATUS'	37	214	1	1	0
	38	38	1	'01037011'	'DS2_SIGNAL_ECHO_STATUS'	37	214	1	1	0
	39	39	1	'01001024'	'NEW_PRI_CL'	1	208	1	1	1
	40	40	1	'01037012'	'DS3_SIGNAL_ECHO_STATUS'	37	214	1	1	0
	41	41	1	'01037013'	'DS1_SCHEDULE_ECHO_STATUS'	37	214	1	1	0
	42	42	1	'01001025'	'ROC_PRI_CL'	1	208	1	1	1
	43	43	1	'01037014'	'DS2_SCHEDULE_ECHO_STATUS'	37	214	1	1	0
	44	44	1	'01037015'	'DS3_SCHEDULE_ECHO_STATUS'	37	214	1	1	0
	45	45	1	'01037016'	'CME_ENTITLEMENT_STATUS'	37	214	1	1	0
	46	46	1	'01039001'	'PMPA_WITH_DG_STATUS'	39	214	1	1	0
	47	47	1	'01001026'	'UNI_CL'	1	208	1	1	1
	48	48	1	'01039002'	'PMPA_DG_STATUS'	39	214	1	1	0
	49	49	1	'01039003'	'PMPA_WITHOUT_DG_STATUS'	39	214	1	1	0
	50	50	1	'01001027'	'WES_CL'	1	208	1	1	1
	51	51	1	'01001028'	'ABBEVILLE_SRV'	1	208	1	1	1
	52	52	1	'01044001'	'UseMe2'	44	214	1	1	0
	53	53	1	'01001029'	'ABB01_PRI_RTU'	1	208	1	1	1
	54	54	1	'01001030'	'ABB01_CHK_RTU'	1	208	1	1	1
	55	55	1	'01001031'	'CLI01_PRI_RTU'	1	208	1	1	1
	56	56	1	'01001032'	'CLI01_CHK_RTU'	1	208	1	1	1
	57	57	1	'01001033'	'CLI02_PRI_RTU'	1	208	1	1	1
	58	58	1	'01001034'	'CLI02_CHK_RTU'	1	208	1	1	1
	59	59	1	'01001035'	'EAS01_PRI_RTU'	1	208	1	1	1
	60	60	1	'01001036'	'EAS01_CHK_RTU'	1	208	1	1	1
	61	61	1	'01001037'	'EAS03_PRI_RTU'	1	208	1	1	1
	62	62	1	'01001038'	'EAS03_CHK_RTU'	1	208	1	1	1
	63	63	1	'01001039'	'EAS04A_PRI_RTU'	1	208	1	1	1
	64	64	1	'01001040'	'EAS04A_CHK_RTU'	1	208	1	1	1
	65	65	1	'01001041'	'EAS05_PRI_RTU'	1	208	1	1	1
	66	66	1	'01001042'	'EAS05_CHK_RTU'	1	208	1	1	1
	67	67	1	'01001043'	'EAS06_PRI_RTU'	1	208	1	1	1
	68	68	1	'01001044'	'EAS06_CHK_RTU'	1	208	1	1	1
	69	69	1	'01001045'	'GAF01A_PRI_RTU'	1	208	1	1	1
	70	70	1	'01001046'	'GAF01A_CHK_RTU'	1	208	1	1	1
	71	71	1	'01001047'	'GAF01B_PRI_RTU'	1	208	1	1	1
	72	72	1	'01001048'	'GAF01B_CHK_RTU'	1	208	1	1	1
	73	73	1	'01001049'	'GAF02_PRI_RTU'	1	208	1	1	1
	74	74	1	'01001050'	'GAF02_CHK_RTU'	1	208	1	1	1
	75	75	1	'01001051'	'GRE02A_PRI_RTU'	1	208	1	1	1
	76	76	1	'01001052'	'GRE02A_CHK_RTU'	1	208	1	1	1
	77	77	1	'01001053'	'GRE02B_PRI_RTU'	1	208	1	1	1
	78	78	1	'01001054'	'GRE02B_CHK_RTU'	1	208	1	1	1
	79	79	1	'01001055'	'GRE03A_PRI_RTU'	1	208	1	1	1
