"PKey","UserName","IpAddress","Address","CountGood","LastGood","CountBad","LastBad","ConsecBad","ConseBadEx","LgnBlkdAt","FirstBad"
"1","******","1684370186","10.115.101.100","0","","1","#2022-06-22 16:24:22.274#","0","0","",""
"2","******","42379456","192.168.134.2","0","","1","#2022-09-20 20:34:58.088#","0","0","",""
"3","******","1684370186","10.115.101.100","0","","1","#2022-06-22 17:14:46.487#","0","0","",""
"4","******","-43709942","10.10.101.253","0","","1","#2021-09-22 13:30:58.359#","0","0","",""
"5","******","1684370186","10.115.101.100","0","","1","#2022-06-22 16:17:20.939#","0","0","",""
"6","******","1936001546","10.10.101.115","0","","1","#2022-06-07 13:54:49.806#","0","0","",""
"7","******","-43709942","10.10.101.253","0","","1","#2022-04-22 17:25:55.090#","0","0","",""
"8","******","1684370186","10.115.101.100","0","","1","#2022-06-22 17:23:10.516#","0","0","",""
"9","******","42379456","192.168.134.2","0","","1","#2022-09-20 20:35:02.962#","0","0","",""
"10","******","1684370186","10.115.101.100","0","","1","#2022-06-22 17:14:46.596#","0","0","",""
"11","******","75933888","192.168.134.4","0","","1","#2023-03-22 14:34:37.976#","0","0","",""
"12","******","42313920","192.168.133.2","0","","1","#2022-07-27 17:22:42.111#","0","0","",""
"13","wblanton","295504394","10.10.157.17","4","#2024-04-30 22:43:47.378#","3","#2024-04-30 22:43:38.354#","0","0","",""
"14","******","59091136","192.168.133.3","0","","1","#2022-08-09 12:06:56.324#","0","0","",""
"15","******","1684370186","10.115.101.100","0","","1","#2024-01-23 21:46:43.089#","0","0","",""
"16","******","1684370186","10.115.101.100","0","","1","#2024-01-23 19:30:34.395#","0","0","",""
"17","wblanton","92711104","192.168.134.5","11","#2023-04-18 21:16:40.803#","1","#2023-01-26 14:54:44.933#","0","0","",""
"18","mfrazier","-43709942","10.10.101.253","1683","#2022-06-08 12:43:02.895#","12","#2022-05-31 20:38:57.947#","0","0","",""
"19","WBLANTON","109422784","192.168.133.6","14","#2022-09-19 11:40:54.568#","2","#2022-09-16 13:26:30.693#","0","0","",""
"20","******","1936001546","10.10.101.115","0","","1","#2022-09-27 13:15:33.462#","0","0","",""
"21","******","42379456","192.168.134.2","0","","1","#2023-02-17 20:57:18.149#","0","0","",""
"22","mfrazier","75933888","192.168.134.4","374","#2024-05-06 16:24:15.660#","26","#2024-04-18 17:36:29.316#","0","0","",""
"23","******","42379456","192.168.134.2","0","","1","#2022-11-04 14:32:00.248#","0","0","",""
"24","******","42379456","192.168.134.2","0","","1","#2023-03-06 13:21:11.326#","0","0","",""
"25","******","42379456","192.168.134.2","0","","1","#2022-10-26 14:58:11.598#","0","0","",""
