"PKey","Name","Desc","Duration","MomAck","MomNak","Su1ClrAck","Su1ClrNak","Su1ActAck","Su1ActNak","Su2ClrAck","Su2ClrNak","Suppressed"
"1","0-","Priority 0","0","7","7","7","7","7","7","7","7","1"
"2","1-","Priority 1","0","2","2","7","2","2","2","7","2","0"
"3","2-","Priority 2","0","3","3","7","3","3","3","7","3","0"
"4","3-","Priority 3","0","1","1","7","1","1","1","7","1","0"
"5","4-","Priority 4","0","5","5","7","5","5","5","7","5","0"
"6","5-","Priority 5","0","6","6","6","1","1","1","6","1","0"
"7","6-","Priority 6","0","6","6","6","1","1","1","6","1","0"
"8","7-","Priority 7","0","6","6","6","1","1","1","6","1","0"
"9","8-","Priority 8","0","6","6","6","1","1","1","6","1","0"
"10","9-","Priority 9","0","6","6","6","1","1","1","6","1","0"
"11","10-","Priority 10","0","6","6","6","1","1","1","6","1","0"
