"PKey","Name","Desc","P1Title","P1Attr","P2Title","P2Attr","P3Title","P3Attr","P4Title","P4Attr","P5Title","P5Attr","P6Title","P6Attr","P7Title","P7Attr","P8Title","P8Attr"
"1","Sum","Summation","=","AOM","+","ACI","+","ACI","+","ACI","+","ACI","+","ACI","","ACI","",""
"2","Subtract","Subtraction","=","AO","-","ACI","","ACI","","","=","AO","-","ACI","","ACI","",""
"3","Multiply","Multiplication","=","AO","*","ACI","","ACI","","","=","AO","*","ACI","","ACI","",""
"4","Divide","Division","=","AO","/","ACI","","ACI","","","=","AO","/","ACI","","ACI","",""
"5","Min Samp","Minutely Sample","Source","ACI","Sample1","AIO","Sample2","AIO","Sample3","AIO","Sample4","AIO","Sample5","AIO","","","",""
"6","Hr Samp","Hourly Sample","Source","ACI","Sample1","AIO","Sample2","AIO","Sample3","AIO","Sample4","AIO","Sample5","AIO","","","",""
"7","Day Samp","Daily Sample","Source","ACI","Sample1","AIO","Sample2","AIO","Sample3","AIO","Sample4","AIO","Sample5","AIO","Samp Tod","ACI","",""
"8","Wk Samp","Weekly Sample","Source","ACI","Sample1","AIO","Sample2","AIO","Sample3","AIO","Sample4","AIO","Sample5","AIO","Samp Tod","ACI","",""
"9","Mon Samp","Monthly Sample","Source","ACI","Sample1","AIO","Sample2","AIO","Sample3","AIO","Sample4","AIO","Sample5","AIO","Samp Tod","ACI","",""
"10","Min Reset","Minute Reset","Point1","AO","Point2","AO","Point3","AO","Point4","AO","Point5","AO","Point6","AO","","","",""
"11","Hr Reset","Hourly Reset","Point1","AO","Point2","AO","Point3","AO","Point4","AO","Point5","AO","Point6","AO","","","",""
"12","Day Reset","Daily Reset","Point1","AO","Point2","AO","Point3","AO","Point4","AO","Point5","AO","Point6","AO","Reset Tod","ACI","",""
"13","Wk Reset","Weekly Reset","Point1","AO","Point2","AO","Point3","AO","Point4","AO","Point5","AO","Point6","AO","Reset Tod","ACI","",""
"14","Mon Reset","Monthly Reset","Point1","AO","Point2","AO","Point3","AO","Point4","AO","Point5","AO","Point6","AO","Reset Tod","ACI","",""
"15","Date & Time","Current Date and Time","Time","AO","Day","AO","Month","AO","Year","AO","Dow","AO","","","Sunday is","CI","",""
"16","Time O/C","Time Open/Close","Source","SCIM","T-Close(1)","AO","T-Open(0)","AO","T-Travel(2)","AO","T-Error(3)","AO","0=HH.hh 1=HH.MM","CI","","","",""
"17","Hr MinMaxAvg","Hourly Max/Min/Avg","Source","ACIM","Average","AO","Maximum","AO","Max Time","AO","Minimum","AO","Min Time","AO","Reset Tod","ACI","",""
"18","Day MinMaxAvg","Daily Max/Min/Avg","Source","ACIM","Average","AO","Maximum","AO","Max Time","AO","Minimum","AO","Min Time","AO","Reset Tod","ACI","",""
"19","Norm Rate Acc","Normalized Rate Accumulation","Source","ACIM","V-This Hour","AO","V-Last Hour","AO","V-Day To Hour","AO","V-Yesterday","AO","V-Month To Day","AO","V-Last Month","AO","*-Scale","AIC"
"20","Time Reset/DST","Time Reset/DST","Daily Reset","ACI","Spring Month","ACI","Spring Day","ACI","Spring Time","ACI","Fall Month","ACI","Fall Day","ACI","Fall Time","ACI","",""
"21","Exponential","Exponential","Result 1","AO","Mantissa 1","ACI","Exponent 1","ACI","","","Result 2","AO","Mantissa 2","ACI","Exponent 2","ACI","",""
"22","Interlock","Interlock","Source","SCIM","Point 1","ASO","Point 2","ASO","Point 3","ASO","Point 4","ASO","Point 5","ASO","Point 6","ASO","",""
"23","Setpoint Dev","Setpoint deviation","Difference 1","AO","Setpoint 1","AI","Feedback 1","ACI","Interval","AI","Difference 2","AO","Setpoint 2","AI","Feedback 2","AI","",""
"24","Count O/C's","Number of opens and closes","Source","SI","Opens","AO","Closes","AO","","","","","","","","","",""
"25","Sine/Cosine","Trigonometric Sine/Cosine","Angle 1","ACI","Sine Angle 1","AO","Cosine Angle 1","AO","","","Angle 2","ACI","Sine Angle2","AO","Cosine Angle 2","AO","",""
"26","Natural Log","Natural Logarithm","Input 1","ACI","Logarithm 1","AO","Input 2","ACI","Logarithm 2","AO","Input 3","ACI","Logarithm 3","AO","","","",""
"27","Digital Filter","Digital Filter","Output 1","AO","Filter 1","ACI","Input 1","ACI","","","Output 2","AO","Filter 2","ACI","Input 2","ACI","",""
"28","Unnorm Rate Acc","Un-normalized rate acc","Source","ACI","Scale Factor","ACI","Acc 1","AO","Acc 2","AO","Acc 3","AO","Acc 4","AO","Acc 5","AO","",""
"29","Mstr/Stby Status","Processor Status","HostA","SO","HostB","SO","Master","SO","Standby","SO","HostC","SO","HostD","SO","","","",""
"30","KVARH"," KVARH","KVARH","AO","KWH","AI","KQH","AI","","","KVARH","AO","KWH","AI","KQH","AI","",""
"31","KVA,PF,AMP","KVA PF AMP","KW","AIM","KV","AI","KVAR","AIM","KVA","AO","PF","AO","AMP","AO","","","",""
"32","KVA,PF,KVAR","KVA PF KVAR","KW","AI","KV","AI","AMP","AI","KVA","AO","PF","AO","KVAR","AO","","","",""
"33","Phase Imbalance","Phase Imbalance","Phase A","AI","Phase B","AI","Phase C","AI","","","Unbalance A-B","AO","Unbalance B-C","AO","Unbalance C-A","AO","",""
"34","Source Input","Source Input","Output Value","AO","Output Status","SO","Primary Input","AI","Alternate Input","AI","Estimated Input","AI","","","","","",""
"41","AGA3 AGA7 Cnst","AGA-3,AGA-7 Flow Constants","Spec Gravity","ACIM","Pressure Bf","ACI","Temperature Bf","ACI","Gauge Pressure","ACIM","Atmospheric P","ACI","Flowing Temp","ACI","","ACI","",""
"42","Add AGA3 Flow","Additional AGA-3 Gas Flow","Base Orifice F","ACIM","B-Reynolds F","ACIM","Expansion F","ACIM","Manometer F","ACI","Pressure Thresh","ACI","Diff Pressure","ACIM","","","",""
"43","AGA3 Corrected","AGA-3 Corrected Flow","Reynolds F","AOM","Spec Gravity","AOM","Flowing Temp","AOM","Supercompress F","AOM","Flow Rate/Hour","AOM","","","","","",""
"44","AGA7 Corrected","AGA7 Corrected Flow","Flow At Base","AOM","Flow At Flowing","AIM","Flowing Temp F","AO","Supercompress F","AO","","","","","","","",""
"45","Average Over T","Average Over Time","Source","AIM","Avg This Inter","AOM","Avg Last Inter","AO","Interval","ACI","","","","","","","",""
"46","Weighted Sum","Weighted Sum","Demand 1","ACI","Weight Demand 1","ACI","Demand 2","ACI","Weight Demand 2","ACI","Demand 3","ACI","Weight Demand 3","ACI","","","",""
"47","System Demand","System Demand","Total Demand","AO","Total Weight","AO","Average Demand","AO","","","Sample Interval","ACI","Moving Av Win","ACI","","","",""
