"PKey","Name","Desc","ProjectId","ProjectMap","Compiled","CreatedBy","CreatedAt","ModifiedBy","ModifiedAt","ApprovedBy","Autostart","Restart","Running","LoggingDis","StatePID","VarT1","VarT2","VarT3","VarT4","VarT5","PPCode","PLine","IsTemplate","CalcFreq","ParAttr1","ParAttr2","ParAttr3","ParAttr4","ParAttr5","ParAttr6","ParAttr7","ParAttr8","ParTitle1","ParTitle2","ParTitle3","ParTitle4","ParTitle5","ParTitle6","ParTitle7","ParTitle8","PSync"
"1","CATAWBA1_NET_OUTPUT","Calculate Catawba 1 Net Output","0","0","0","","","","","","0","0","0","0","DUKE,CATAWBA1_NET_OUTPUT_STATUS:S","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","T=HZ;0A0000002003000063601805A36014E00200"
"2","Adjust_Net_Output","If the Nuclear Output drops below GNB, make it zero","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","0","IA","IA","IOA","","IA","IA","IOA","","Unit Gross","Unit GNB","UnitNetOut","","Unit Gross","Unit GNB","UnitNetOut","","T=HZ;0A0000002003000063601805A36014E00200"
"3","Parse_Date_Time","Parse the Day, Hour, and Minute from the Date and Time Function","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","0","IA","","OA","OA","OA","","","","Date_Time","","Minutes","Hour","Day","","","","T=HZ;0A0000002003000063601805A36014E00200"
"4","REALTIME_UPDATE","Chooses correct input source from Primary, Check, or Estimated.","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","T=HZ;0A0000002003000063601805A36014E00200"
"5","ANNUAL_PEAK","Track Top 10 SPC Loads","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","T=HZ;0A0000002003000063601805A36014E00200"
"6","Previous_Hour_Calc","Takes the current hour and calculates the previous hours","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","0","IA","OA","OA","OA","OA","OA","OA","","CurrHour","1HrPrev","2HrPrev","3HrPrev","4HrPrev","5HrPrev","6HrPrev","","T=HZ;0A0000002003000063601805A36014E00200"
"7","Annual_Peak","Looks at an hourly value and keeps track of the highest value an","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","0","IA","","OA","OA","OA","OA","","","Hour_Sourc","","Max_Value","Max_Month","Max_Day","Max_Hour","","","T=HZ;0A0000002003000063601805A36014E00200"
"8","KVAR_PF_PerPhase","Calculate KVAR to account for negative values","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","0","IA","IA","IA","","OA","OA","OA","","KW","KV","AMPS","","PF","KVAR","KVA","","T=HZ;0A0000002003000063601805A36014E00200"
"9","CurrHr_At_00","Takes the current hour and converts it to 24","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","1","IA","OA","","","","","","","CurrHour","RealHr","","","","","","","T=HZ;0A0000002003000063601805A36014E00200"
"10","GT","Swaps two values based on which one is higher","0","0","0","","","","","","0","0","0","0","","0","0","0","0","0","0","0","1","3","IOA","IOA","","IOA","","","","","Is_Value1","GT_Value2","","Temp_Num","","","","","T=HZ;0A0000002003000063601805A36014E00200"
