"PKey","Name","ProjectId","ProjectMap","SetId","Pid","AddrSlct","Address","Alias","AliasType","P1","P2","P3","P4","P5","P6","P7","P8","Type","Format","IsScale","ScaleOffst","ScaleFact","IsDeadband","Deadband","IsModify","MsInput","MsOutput","MsAutoSubs","MsUnit"
"1","d0e385c5-5735-4842-97ec-56f73e7d9839","0","0","DUKE_ICCP_DUKE_DATA","DUKE,DS5_PMPA_DK_MWH_SCHEDULE:A","1","0","DUK_DS5_PMPA_DK_MWH","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"2","7c01b230-8955-47c5-a815-1b0286b7d075","0","0","DUKE_ICCP_PMPA_DATA","DUKE,DS5_PMPA_DK_MW_SIGNAL:A","1","0","PMPA_DS5_PMPA_DK_MW","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"3","e048585d-a4b2-4c98-832c-8edd64e194af","0","0","SANTEE_ICCP_SCDATA","SANTEE,PMPA_SEPA:A","1","0","SC_PMPA_SEPA_MW","1","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"4","037e48c2-5aba-443e-bae5-bb0eef5fa552","0","0","DUKE_ICCP_PMPA_DATA","ROC09,KW_COMP:A","1","0","PMPA_ROC09_KW","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"5","33d877e3-86c1-413d-b2d0-217e50c5ae2c","0","0","DUKE_ICCP_PMPA_DATA","ROC09,KVAR_COMP:A","1","0","PMPA_ROC09_KVAR","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"6","a65144b5-0060-4c95-9ccc-f17f044459db","0","0","SANTEE_ICCP_PMPADATA","ROC09,KVAR_COMP:A","1","0","PMPA_ROC09_KVAR","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"7","52d4abe4-3dba-4211-8e99-b9930c6fd14c","0","0","SANTEE_ICCP_PMPADATA","ROC09,KW_COMP:A","1","0","PMPA_ROC09_KW","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"8","a411ebcc-80d3-4d1e-b3c4-d9ac43ee21f6","0","0","ROCKHILL_DATA","ROC08,KW:A","0","13","","0","0","1","0","0","0","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0"
"9","404cc018-b7b6-4800-b811-21435740a8ce","0","0","ROCKHILL_DATA","ROC08,KVAR:A","0","14","","0","0","1","0","0","0","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0"
"10","c3e10567-921c-47a9-8927-0d1b2596f18f","0","0","ROCKHILL_DATA","ROC09,KW:A","0","15","","0","0","1","0","0","0","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0"
