"PKey","Name","ProjectId","ProjectMap","SetId","Pid","AddrSlct","Address","Alias","AliasType","P1","P2","P3","P4","P5","P6","P7","P8","Type","Format","IsModify","MsInput","MsOutput","MsAutoSubs"
"1","d0a1e3d9-0fa1-4416-a31d-57aa64e7d766","0","0","ROCKHILL_DATA","SYS$,ROC10_PRI_RTU:S","0","0","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"2","eee775d9-ca11-41ac-9b3f-0277fe231ceb","0","0","ROCKHILL_DATA","SYS$,ROC10_CHK_RTU:S","0","1","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"3","7552962c-b7bc-4d40-b59f-920eee7993d6","0","0","ROCKHILL_DATA","SYS$,ROC11_PRI_RTU:S","0","2","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"4","842540a8-17ca-427a-b8f9-1a7a4aeb83ed","0","0","ROCKHILL_DATA","SYS$,ROC11_CHK_RTU:S","0","3","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"5","14073f68-af4b-4cd0-8be1-409654a8117e","0","0","ROCKHILL_DATA","SYS$,ROC12_PRI_RTU:S","0","4","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"6","d3d800c6-0477-49e8-95a7-a7959dc9aa35","0","0","ROCKHILL_DATA","SYS$,ROC12_CHK_RTU:S","0","5","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"7","f219ab76-6ddb-4b2c-b3fe-ef54884de136","0","0","ROCKHILL_DATA","SYS$,ROC05_PRI_RTU:S","0","6","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"8","1d917853-19af-4c15-a065-96cef2700eea","0","0","ROCKHILL_DATA","SYS$,ROC05_CHK_RTU:S","0","7","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"9","6a67c3d6-7d13-4094-bbf5-43bd55a932ba","0","0","ROCKHILL_DATA","SYS$,ROC06_PRI_RTU:S","0","8","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"10","12890c30-a4d3-4759-9751-0b64fc336e04","0","0","ROCKHILL_DATA","SYS$,ROC06_CHK_RTU:S","0","9","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
