"PKey","Name","Desc","CurYear","LdGthBak1","LdGthBak2","LdGthBak3","LdGthBak4","LdGthBak5","LdGthBak6","LdGthBak7","LdGthBak8","LdGthBak9","LdGthBak10","LoadSetId","LoadPid","TempPid","WindPid","HumidPid","CloudPid","DayPid","FcastWthId","WdEqTempId","HmEqTempId","TempFact","WindFact","HumidFact","CloudFact","LoadFact","SprngStart","SprngMtrId","SummrStart","SummrMtrId","FallStart","FallMtrId","WintrStart","WintrMtrId","FcasMdr1","FcasMdr2","FcasMdr3","FcasMdi1","FcasMdi2","FcasMdi3","FcasMdid1","FcasMdid2","FcasMdid3","TrainingSz","PaddedLen","MinHisLoad","MaxHisLoad"
"1","ABB01","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","ABB01,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","50","10","10","10","20","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"2","CLI01","Load Area","2023","0","0","0","0","0","0","0","0","0","0","KGSP","CLI01,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","10","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"3","CLI02","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","CLI02,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"4","EAS01","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","EAS01,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"5","EAS03","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","EAS03,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"6","EAS04A","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","EAS04A,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"7","EAS04B","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","EAS04B,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"8","EAS05","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","EAS05,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"9","GAF01A","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GAF01A,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"10","GAF01B","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GAF01B,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"11","GAF02","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GAF02,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"12","GRE02A","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GRE02A,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
