"PKey","Name","Desc","Type","UseDayTyp","LoadAreaId","StoreSetId","StorePid","StartTime","StartType","Str24Pid0","Str24Pid1","Str24Pid2","Str24Pid3","Str24Pid4","Str24Pid5","Str24Pid6","Str24Pid7","Str24Pid8","Str24Pid9","Str24Pid10","Str24Pid11","Str24Pid12","Str24Pid13","Str24Pid14","Str24Pid15","Str24Pid16","Str24Pid17","Str24Pid18","Str24Pid19","Str24Pid20","Str24Pid21","Str24Pid22","Str24Pid23","Estimator","EstInterv","LstFCstTm","EstPid","HistVal0","HistVal1","Str24Val0","Str24Val1","Str24Val2","Str24Val3","Str24Val4","Str24Val5","Str24Val6","Str24Val7","Str24Val8","Str24Val9","Str24Val10","Str24Val11","Str24Val12","Str24Val13","Str24Val14","Str24Val15","Str24Val16","Str24Val17","Str24Val18","Str24Val19","Str24Val20","Str24Val21","Str24Val22","Str24Val23","DaysBack","Curr15Pid","Curr30Pid","Curr45Pid","Curr60Pid","CalDate","MdlUdFq","LstMdlUd","NxtMdlUd","LstHisDate","nDayAhead"
"1","ABB01","KW estimation job","1","0","ABB01","","","3480","2","","","","","","","","","","","","","","","","","","","","","","","","","1","31","#2024-05-31 11:58:00.963#","ABB01,KW_COMP_ESTIMATE:A","4336","4160","3583.712","3927.024","4489.712","5124.528","5611.84","6066.272","6577.568","7381.36","7583.456","7869.28","8097.344","8180.864","7859.104","7558.544","7278.976","7224.64","6532.88","5806.736","5359.872","5158","4811.168","4743.808","4452.768","4639.088","70","","","","","365","0","","","","0"
"2","CLI01","KW estimation job","1","0","CLI01","","","3450","2","","","","","","","","","","","","","","","","","","","","","","","","","1","31","#2024-05-31 11:57:23.120#","CLI01,KW_COMP_ESTIMATE:A","3034.128","2974.656","3210.13632","3107.1648","3240.05952","3480.22464","3771.14112","4012.22976","4503.06624","4809.50592","4996.2816","5202.61824","5365.25568","5019.62304","4709.69664","4689.96864","4367.53536","4017.1008","3682.62528","3309.59424","3089.59872","2838.9216","2604.17088","2651.91552","2699.03616","2843.0208","70","","","","","0","0","","","","0"
"3","CLI02","KW estimation job","1","0","CLI02","","","3420","2","","","","","","","","","","","","","","","","","","","","","","","","","1","32","#2024-05-31 11:57:25.916#","CLI02,KW_COMP_ESTIMATE:A","6573.744","6351.264","6911.3664","7072.2144","7505.3088","7826.7936","8256.4512","8636.2848","8937.744","8977.968","9053.0208","9203.1744","9244.0224","9103.3248","8747.4624","8484.8448","8184.7008","7587.8976","7051.4112","6591.5328","6350.4672","6104.5056","6088.896","6049.1712","6001.8432","6182.8032","70","","","","","0","0","","","","0"
"4","EAS01","KW estimation job","1","0","EAS01","","","3390","2","","","","","","","","","","","","","","","","","","","","","","","","","1","31","#2024-05-31 11:56:09.997#","EAS01,KW_COMP_ESTIMATE:A","5011.02","4979.7","5398.488","5706.432","6034.32","6394.428","6825.312","7498.98","8125.884","8579.808","9220.824","9663.264","9851.58","9554.652","8946.54","8499.744","8111.268","7525.512","6473.844","5837.328","5211.108","4990.716","4757.688","4631.904","4702.284","5029.776","70","","","","","0","0","","","","0"
"5","EAS03","KW estimation job","1","0","EAS03","","","3360","2","","","","","","","","","","","","","","","","","","","","","","","","","1","33","#2024-05-31 11:56:12.799#","EAS03,KW_COMP_ESTIMATE:A","4605.48","4070.52","4534.668","4942.512","5629.932","6166.368","6765.156","7319.556","7704.252","8160.192","8674.128","9003.384","9157.428","8938.44","8693.28","8083.26","7601.868","6739.488","5719.248","5030.532","4499.424","4185.432","3878.856","3858.012","4081.5","4341.96","70","","","","","0","0","","","","0"
"6","EAS04A","KW estimation job","1","0","EAS04A","","","3330","2","","","","","","","","","","","","","","","","","","","","","","","","","1","34","#2024-05-31 11:55:29.249#","EAS04A,KW_COMP_ESTIMATE:A","5218.428","4818.78","5381.46","5841.1488","6438.7704","7313.4768","7999.2912","8882.1144","9564.732","10067.052","10695.5832","11377.4856","11285.2584","11104.7688","10760.5632","10141.4184","9587.2488","8592.888","7422.9984","6469.4952","5689.248","5159.172","4981.3272","4860.804","4988.9544","5504.4912","70","","","","","365","0","","","","0"
"7","EAS04B","KW estimation job","1","0","EAS04B","","","3300","2","","","","","","","","","","","","","","","","","","","","","","","","","1","34","#2024-05-31 11:55:32.057#","EAS04B,KW_COMP_ESTIMATE:A","3867.9936","3689.9712","4127.97504","4317.89184","4605.58272","4903.9584","5412.0768","6042.9696","6546.97152","7119.83808","7545.91872","7868.86656","8253.19104","8528.74752","8390.6016","8099.78304","7670.25792","6893.64096","5828.42496","4910.54784","4277.69088","3863.0592","3609.06432","3410.76864","3439.4592","3779.50464","70","","","","","0","0","","","","0"
"8","EAS05","KW estimation job","1","0","EAS05","","","3270","2","","","","","","","","","","","","","","","","","","","","","","","","","1","35","#2024-05-31 11:54:16.379#","EAS05,KW_COMP_ESTIMATE:A","1606.56","1560.72","1782","1878.648","1900.44","2056.56","2210.856","2479.992","2744.112","3050.016","3315.744","3503.232","3676.176","3739.248","3571.368","3366.504","3210.12","2904.408","2459.64","2133.24","1835.208","1643.592","1535.4","1484.52","1554.432","1682.256","70","","","","","0","0","","","","0"
"9","GAF01A","KW estimation job","1","0","GAF01A","","","3240","2","","","","","","","","","","","","","","","","","","","","","","","","","1","31","#2024-05-31 11:54:19.175#","GAF01A,KW_COMP_ESTIMATE:A","6081.8688","5527.296","5665.0176","6148.8576","6585.4656","7120.1088","7664.832","8156.5632","8481.6","8862.7968","8934.1056","9111.8592","8977.536","9069.7536","8440.3584","8192.0448","7716.7872","7236.864","6260.1984","5950.3104","5491.0656","5161.0752","4883.9616","4979.5776","5055.2064","5554.1952","70","","","","","0","0","","","","0"
"10","GAF01B","KW estimation job","1","0","GAF01B","","","3210","2","","","","","","","","","","","","","","","","","","","","","","","","","1","31","#2024-05-31 11:53:00.606#","GAF01B,KW_COMP_ESTIMATE:A","6922.7712","7169.9904","7552.09152","7868.09088","8545.8528","8992.96704","9410.5728","9882.63936","10210.53888","10799.98848","11075.8176","11228.78592","10966.34304","10621.77984","9988.98048","9653.60448","9299.88864","8988.05952","8231.65632","7551.2448","7336.50624","6891.82272","6738.52032","6770.02752","6883.18848","7085.58336","70","","","","","0","0","","","","0"
"11","GAF02","KW estimation job","1","0","GAF02","","","3180","2","","","","","","","","","","","","","","","","","","","","","","","","","1","32","#2024-05-31 11:53:03.447#","GAF02,KW_COMP_ESTIMATE:A","9154.635","8850.03","9730.58415","10071.6273","11055.43425","11986.9638","12273.7902","12886.8999","13437.333","13635.65385","13770.29745","13567.0584","13110.84285","12556.93425","12093.1797","11727.2106","11670.0402","10655.1648","9452.48115","8781.39675","8220.12765","7816.1412","7588.23765","7497.23205","7554.6261","8237.23005","70","","","","","0","0","","","","0"
"12","GRE02A","KW estimation job","1","0","GRE02A","","","3150","2","","","","","","","","","","","","","","","","","","","","","","","","","1","32","#2024-05-31 11:52:22.762#","GRE02A,KW_COMP_ESTIMATE:A","7768.68","6976.68","7459.896","8052.528","9074.856","9955.344","10938.768","11518.2","11982.144","12400.776","12942.288","13248.936","13524.672","13396.176","12952.392","12465.96","11759.544","10368","8906.088","8155.632","7181.232","6735.624","6404.496","6247.296","6370.92","7001.88","70","","","","","0","0","","","","0"
