"PKEY","NAME","DESC","PROJECTID","PROJECTMAP","ERROR","COLLECTING","ALLOCATED","LOADSURVEY","LEADSAMPNG","CALCINPRO","HASQULIFRS","TOTSAMPLES","SAMPLECNT","OLSTSAMPID","NWSTSAMPID","CURRSAMPID","OLSTSAMPTM","NWSTSAMPTM","SMPINTTYPE","SMPDURAT","SMPINTERV","SMPOBSERV","SMPSTART","LASTSTIME","CNDCOLLECT","CNDFUNCID","CNDOPTYPE1","CNDOPPID1","CNDOPCNST1","CNDOPTYPE2","CNDOPPID2","CNDOPCNST2","CNDWRKVAL","CNDWRKTIM","DERIVEDSET","DERIVEDID","TIMCHGPTS","TIMSETVAL","MAXPOINTS","POINTLIST","REPLICATE"
"1","NEW_PF","Hourly PF Averages for Newberry for past 30 Days","0","0","0","1","1","0","0","0","1","720","719","514","512","513","#2024-05-01 14:00:00.000#","#2024-05-31 12:00:00.000#","0","2592000","3600","15","#2015-11-24 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2019-06-12 12:49:56.116#","","7","T=HZ;2600000064000000F3730D3730D20970B3725436E5E5F203F28C517826283C534708D700CA7542E19AA171618A01","0"
"2","DELIVERY_POINTS_15SEC","All Delivery Points measured at 15 second intervals","0","0","0","1","1","0","0","0","0","518400","518399","206835","206832","206833","#2024-03-02 12:15:45.000#","#2024-05-31 12:15:00.000#","0","7776000","15","15","#2006-02-01 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2023-12-12 17:51:22.862#","","43","T=HZ;A9000000450300006DD2BB0EC2300C05D01D89AF606548FA088FCD894285282D2AAA32F6FFFF029CADF77A3DBA765CD712A3F3E757D9D2FCFEDCE5E48E87343E2D6AF694E58B29A596A913C3225BBFA7411ECE8B61910D661B96EC1A2C55C3D2BFB546AE3572F815D58C5C6FE47A2317F634CA8ABB53C257AB41B7654EDE3179A6860897AE14982E30C63AD18928754CD0AC64BA1AED7F65BAF1CA708A6AB08C2917FA05D58C830B1C0B4669E07DC3B33F","1"
"3","KGSP","weather and load history for ABB, CLI, EAS, GAF, GRE, LAU, UNI,","0","0","0","1","1","0","0","0","0","120000","119999","9081","9080","9081","","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2016-09-28 15:34:41.883#","#2018-05-31 15:43:42.088#","36","T=HZ;C8000000EB0200006DD13B0E83300C06E0BD524FD18E0C3C8BD4CD2186221E891268C494FBDFA20D0C2D76D6CFBF95D87608CB0B4DD259ED9B51ADB2516F344FB8A5D78BFBAB49745AF5F3C22B0B4E1A0D2CAB415E74FD2CAD469447098448B36470BE51933EA819FB18E56742B03415A8E05442C404B78AD3E34C1DB469061113DCC8773B83694E5B83D1D6AF15915C11C9D1C1768BE4AA48AE22B91156BABB40F489DD48EB3AB37B052A3991753A6427B49BBD277AD2E0394BD854EB10071A9D8EA877A3B2F637621D19BB3EFDFD03","0"
"4","KCAE","weather and load history for NEW (initially same weather data as","0","0","0","1","1","0","0","0","0","120000","119999","9081","9080","9081","","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2019-06-10 19:35:47.421#","#2018-05-31 15:57:31.647#","12","T=HZ;71000000090100006DCB310E83301044D13E12A7484A17280914E936DE4120C06BD9262B2AEE7F8B1429006DDAF76714547A24E7099B9F64612F1FA4175DEBEAA287C6D0284328B614CC1189CA9260A30E817304F89702B4BEBB51372F73DCE961E979A6BCE69B635AA55360DC670DD96BF3B6D6FEB3D3F70B","0"
"5","KCLT","weather and load history for ROC (initially same weather data as","0","0","0","1","1","0","0","0","0","120000","119999","9081","9080","9081","","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2020-06-02 18:10:33.483#","#2018-05-31 15:29:16.999#","15","T=HZ;7B0000004001000065CEBB0EC2300C85E11D89A7A0638614010536139F8AAA1747498AD5A9EFFF160C0C2DF2FAFDC7921554DE482E0C650D83CC1CE483F4A4933F1E74D7181AA59B8A2D056344A23227D8A8DDC43902FC4B4942ED5DAF6B90316E541BF2174B574BB77FCA4BAE1CD322AD02FD366BC89EDE2D3DEC6767BB6A5E7BFB02","0"
"6","DUKE_15SEC_LOAD","Duke System Load every 15 seconds","0","0","0","1","1","0","0","0","0","518400","518399","514114","514112","514113","#2024-03-02 12:15:30.000#","#2024-05-31 12:15:00.000#","0","7776000","15","15","#2005-12-08 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2015-06-23 16:02:44.238#","","1","DUKE,SYSTEM_LOAD:A#0","0"
"7","NUCLEAR_GEN_15SEC","Catawba, McGuire, and Entitlement signals every 15 seconds","0","0","0","1","1","0","0","0","0","518400","518399","514114","514112","514113","#2024-03-02 12:15:30.000#","#2024-05-31 12:15:00.000#","0","7776000","15","15","#2005-12-08 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","","","9","T=HZ;4D000000FB0000007309F576D571760C710C7772348C770FF20F0EB6725436E0E572419170F50BF10CF171F505D298D246B8F419E1D0E7EBEC1EEA19E48A691F5C02AF3E4CFBE01238DCE9EB8A2C13EF1B0E920400","0"
"8","CITY_60MIN_KW_KVAR","All PMPA Cities 60-Minute Integrated KW and KVAr","0","0","0","1","1","0","0","0","1","26400","26399","11779","11777","11778","#2021-05-27 14:00:03.000#","#2024-05-31 12:00:03.000#","0","95040000","3600","15","#2014-01-13 23:00:03.000#","#2024-05-31 12:00:03.000#","0","0","2","","0","2","","0","0","","0","","#2014-01-13 21:47:15.259#","","20","T=HZ;68000000CA0100006DD0310E40401040D15EE214945A8D6E6C86087665376C54EE7F0B318588FCF6E7553F9DA96EA4EFAF395F2EAC5B27555B16E9AD87C47F77CB04DA2A689504DA2AE85106D056494725FD54D08BECA0AD82F69A415B051D83036D15F4EEE9A055D059E9A0D5AFBE01","1"
"9","DUKE_60MIN_LOAD","Hourly Duke System Load","0","0","0","1","1","0","0","0","1","43800","43799","33629","33627","33628","#2019-06-02 14:00:00.000#","#2024-05-31 12:00:00.000#","0","157680000","3600","30","#2005-12-16 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","1","DUKE_15SEC_LOAD","#2015-06-23 16:03:21.023#","","1","DUKE,SYSTEM_LOAD:A#5","1"
"10","KGSP - Actual Vs Forecast","","0","0","0","1","1","0","1","0","1","259200","259199","12513","12511","12512","#2024-03-02 12:15:30.000#","#2024-05-31 12:14:30.000#","0","7776000","30","15","#2016-10-06 04:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2020-11-09 18:18:42.263#","","70","T=HZ;3A010000C10600007D944D6E84300C85F7957A8A6E67C15F40EACE09198A861014C2A059E5FEB7681916C5B193EDF3F7EC27D909485994B7C71E9435CB377C89CF0FB84A41AF7E34E07598EDAEC1FF6897A3CE9A9AC6B8299218BCA27895C035AC71772431784DF13A833740F97F8D3348C6203306417991C15B8AB7097C807B5146F9B1C619246348E53F8A15E553EB1A9C2EAA3810D238431C08698CA16626D474427CC509EC526482D4B920F1ED608D33301392B77314053341E426086682C84D68299F3CB7BF5AC704EA72813A2650970A34C116BF5F243178BC03AC7106C9185281B6F9F8CADA2298710E8F27B8AB8CDA2089E9D250BCC9E02DC5536BD935F9239144F0F79BB80DEB12D464B75ED9E7FB8914B8D6EB7DB1E3ECA9CB6BB368077E73FAB439ABCAE897405294E0AC4D16FA70B74E2B587DCE14FACD98D741FC02","0"
"11","DELIVERY_POINTS_60MIN","All Delivery Points integrated over 1 hour using 15 second inter","0","0","0","1","1","0","0","0","1","26400","26399","23995","23993","23994","#2021-05-27 14:00:00.000#","#2024-05-31 12:00:00.000#","0","95040000","3600","15","#2006-02-01 03:59:59.999#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","1","DELIVERY_POINTS_15SEC","#2023-08-18 18:52:53.599#","#2022-07-28 17:44:21.120#","56","T=HZ;D10000004504000085D2490E02211005D0BD89A770DB0B6806871D201A633B44D361D9F7BF854234B17FFDC4ED4B55019F0A312ADD9DCB946E97FB2EACDC72918613A37E4E393CB1AA92916403B128CD49F2733A8683D281589406D73D3EB2EAB1B51AB6BECD903A43EAF061CD489D23758ED4C16B8730629C95F0D46630ED9A0B0650C948B2737ADC925692B420D2881F58C94B5AC3FDC7AB58B74A56120C2B596C604D11E73723F9E0AF348BF2BE1B495B991049DBFF1EA03E16FF18EBFD06872B93EE65DAE76E487A3A17B49E9821668939629ED8FA632F","1"
"12","PMPA_15SEC_LOAD","PMPA Load Samples - 15 Seconds","0","0","0","1","1","0","0","0","0","535680","535679","306754","306751","306752","#2024-02-28 12:15:45.000#","#2024-05-31 12:15:00.000#","0","8035200","15","15","#2006-01-13 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","","","1","SYS$,PMPA_KW_COMP:A#0","0"
"13","PMPA_60MIN_LOAD","PMPA Hourly Load Sample","0","0","0","1","1","0","0","0","1","24000","23999","20357","20355","20356","#2021-09-04 14:00:00.000#","#2024-05-31 12:00:00.000#","0","86400000","3600","15","#2006-01-13 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","1","PMPA_15SEC_LOAD","","","1","SYS$,PMPA_KW_COMP:A#5","1"
"14","DUKE_DS_SIGNALS","15 Second DS1, DS2, and DS3 Signals from Duke","0","0","0","1","1","0","0","0","0","518400","518399","375874","375872","375873","#2024-03-02 12:15:30.000#","#2024-05-31 12:15:00.000#","0","7776000","15","15","#2006-01-01 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","","","3","T=HZ;250000004C0000007309F576D57109368C0FF674F773F4897775F6F0B7725436E0E57281C818E1943146970100","0"
"15","DUKE_DS_SCHEDULES","Hourly DS1, DS2, and DS3 Schedules from Duke","0","0","0","1","1","0","0","0","0","24000","23999","17383","17380","17381","#2021-09-04 14:30:00.000#","#2024-05-31 11:30:00.000#","0","86400000","3600","3600","#2006-01-02 07:30:00.000#","#2024-05-31 11:30:00.000#","0","0","2","","0","2","","0","0","","0","","#2022-12-09 16:15:33.442#","","6","T=HZ;30000000AF0000007309F576D57109368C0F76F6707509F5718D7775F6F0B7725436E0E57281C819E19133C62307329380B1044CC6940600","0"
