"PKey","Name","Desc","StcExist","CanHavPrt","ExtTlm","ChScanInt","ChShRspTm","ChLgRspTm","ChDShRsTm","ChDLgRsTm","ChErrRvTm","ChIdleTm","ChPollRty","ChIntFctr"
"1","DNP","DNP 3.0","1","1","1","100","0","5000","2000","5000","0","0","4","1"
"2","QUIN","QUIN","1","0","1","100","3000","5000","0","0","0","30","4","1"
"3","SCANX","SCANX Simulator","0","0","1","0","0","0","0","0","0","0","0","0"
"4","MODR","Modbus","1","0","1","100","0","5000","0","0","0","0","4","1"
"5","LGYR","LG 8979","0","0","1","100","0","5000","0","0","0","0","4","1"
"6","TEJAS","Tejas","0","0","1","100","0","5000","0","0","0","0","4","1"
"7","SNMPS","SNMP","0","0","1","5000","100","0","0","0","0","20","1","0"
"8","ICCP","ICCP","0","0","1","0","0","10000","0","0","0","0","0","0"
"9","IEC101","IEC 60870-5-101","1","0","1","100","0","5000","0","0","0","30","4","1"
"10","IEC104","IEC 60870-5-104","1","0","1","100","3000","5000","0","12000","0","30","4","1"
"11","OPC","OPC","0","0","1","100","5000","10000","0","0","30","0","4","0"
"12","RTC","RTC 1032","0","0","1","100","0","5000","0","0","0","30","4","1"
"13","MDAC","MDO-11","0","0","1","100","5000","5000","0","0","0","0","4","1"
"14","HARRIS","HARRIS 5000/6000","0","0","1","100","0","5000","0","0","0","20","4","1"
"15","MDAS","MDAS","0","0","1","100","5000","5000","0","0","0","0","4","1"
"16","WESDAC","WESDAC","0","0","1","100","0","5000","0","0","0","20","4","1"
"17","RECON","RECON I","0","0","1","100","0","5000","0","0","0","20","4","1"
"18","ASW","ASW","0","0","1","100","0","5000","0","0","0","0","4","1"
"19","TG6000","TG6000","0","0","1","100","0","5000","0","0","0","20","4","1"
"20","QPLH","QPLH","0","0","1","100","5000","10000","0","0","0","0","4","1"
"21","IEC61850","IEC 61850","0","0","1","50","5000","10000","20000","0","0","0","4","1"
"22","WILL","Willowglen","0","0","1","250","3000","18000","0","0","0","0","4","1"
"23","SUB","Subscription","0","0","1","100","0","5000","2000","5000","0","0","4","1"
"24","ADCP","ADCP","0","0","1","100","0","5000","2000","5000","0","0","4","1"
"25","ABRA","Allen Bradley","0","0","1","100","0","5000","0","0","0","0","4","1"
"26","IEC103","IEC 60870-5-103","0","0","1","100","0","5000","0","0","0","30","4","1"
"27","SCIPAR","Scipar","0","0","1","100","0","5000","0","0","0","30","4","1"
"28","QNET","Qnet","0","0","1","100","0","5000","0","0","0","30","4","1"
"29","GOOSE","GOOSE","0","0","1","0","0","0","0","0","0","0","0","0"
"30","SCOMM","SComm","0","0","1","100","0","5000","0","0","0","30","4","1"
"31","OPCUA","OPC UA","0","0","1","100","5000","10000","0","0","30","0","4","0"
"32","DERSP","DER-Spirae","0","0","1","100","0","5000","2000","5000","0","0","4","1"
