"PKey","Name","Desc","IsAlias","Exec","Service"
"1","DNPSV","DNP","0","DNPSV",""
"2","ICCPSV","ICCP","1","ICCPSV",""
"3","MODBSV","MODBUS","0","MODBSV",""
"4","OPCSV","OPC","1","OPCSV","SCADAOPCSV"
"5","MSPKSV","Multispeak 3","1","MSPKSV",""
"6","QUICSV","QUICS IV","0","QUICSV",""
"7","IEC104SV","IEC 104","0","IEC104SV",""
"8","HARRISSV","HARRIS 5000/6000","0","HARRISSV",""
"9","SUBSV","Subscription","0","SUBSV",""
"10","IEC101SV","IEC 101","0","IEC101SV",""
"11","MSPK4SV","Multispeak 4","1","MSPKSV",""
"12","TWACSSV","TWACS CST","1","TWACSSV",""
"13","QNETSV","QNET","0","QNETSV",""
"14","GOOSESV","GOOSE","1","GOOSESV",""
"15","MSPK5SV","Multispeak 5","1","MSPKSV",""
"16","OPCUASV","OPC UA","1","OPCUASV",""
