"PKey","Time","Desc","ZoneId","CapturTime","PointPid","StationPid","RecordType","DataFlags","UserId","AlarmSklId","State","AlarmFlags","Priorty","FuncCode","Sequence"
"1","#2023-07-18 20:13:46.305#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-18 20:13:46.305#","","","20","0","","","0","0","0","0","41695"
"2","#2023-07-18 20:36:04.159#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-18 20:36:04.159#","","","20","0","WBLANTON","","0","0","0","0","41696"
"3","#2023-07-18 22:29:47.202#","Login Web User wblanton () 10.115.0.38","ALLZONES","#2023-07-18 22:29:47.202#","","","20","0","","","0","0","0","0","41697"
"4","#2023-07-19 11:46:37.637#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 11:46:37.637#","","","20","0","WBLANTON","","0","0","0","0","41698"
"5","#2023-07-19 12:17:40.061#","Login Web User mregier () 10.115.0.38","ALLZONES","#2023-07-19 12:17:40.061#","","","20","0","","","0","0","0","0","41699"
"6","#2023-07-19 12:19:27.603#","Login Web User mregier () 10.115.0.38","ALLZONES","#2023-07-19 12:19:27.603#","","","20","0","","","0","0","0","0","41700"
"7","#2023-07-19 13:09:57.324#","Login P-95731216::mfrazier success","ALLZONES","#2023-07-19 13:09:57.324#","","","20","0","MFRAZIER","","0","0","0","0","41701"
"8","#2023-07-19 13:21:23.043#","Logout P-95731216::mfrazier success","ALLZONES","#2023-07-19 13:21:23.043#","","","20","0","MFRAZIER","","0","0","0","0","41702"
"9","#2023-07-19 14:21:58.670#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 14:21:58.670#","","","20","0","WBLANTON","","0","0","0","0","41703"
"10","#2023-07-19 14:25:04.852#","Login  P2-2324-WB::WBLANTON [StcExplorer] success","ALLZONES","#2023-07-19 14:25:04.852#","","","20","0","WBLANTON","","0","0","0","0","41704"
"11","#2023-07-19 14:36:45.590#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 14:36:45.590#","","","20","0","WBLANTON","","0","0","0","0","41705"
"12","#2023-07-19 15:18:13.191#","Login  P-95731216:: [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 15:18:13.191#","","","20","0","","","0","0","0","0","41706"
"13","#2023-07-19 16:02:18.313#","Login  P-95731216:: [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 16:02:18.313#","","","20","0","","","0","0","0","0","41707"
"14","#2023-07-19 16:15:20.126#","Logout Web User mregier () 10.115.0.38","ALLZONES","#2023-07-19 16:15:20.126#","","","20","0","","","0","0","0","0","41708"
"15","#2023-07-19 16:15:21.129#","Session Expired Web User mregier () 10.115.0.38","ALLZONES","#2023-07-19 16:15:21.129#","","","20","0","","","0","0","0","0","41709"
"16","#2023-07-19 16:16:21.030#","Login  P-95731216:: [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 16:16:21.030#","","","20","0","","","0","0","0","0","41710"
"17","#2023-07-19 16:19:03.235#","Login Web User mregier () 10.115.0.38","ALLZONES","#2023-07-19 16:19:03.235#","","","20","0","","","0","0","0","0","41711"
"18","#2023-07-19 16:25:10.122#","Login P-95731216::mfrazier failed","ALLZONES","#2023-07-19 16:25:10.122#","","","28","0","MFRAZIER","","0","0","0","0","41712"
"19","#2023-07-19 16:25:15.409#","Login P-95731216::mfrazier success","ALLZONES","#2023-07-19 16:25:15.409#","","","20","0","MFRAZIER","","0","0","0","0","41713"
"20","#2023-07-19 16:35:46.451#","Login  P-95731216:: [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 16:35:46.451#","","","20","0","","","0","0","0","0","41714"
"21","#2023-07-19 16:36:32.423#","Logout P-95731216::mfrazier success","ALLZONES","#2023-07-19 16:36:32.423#","","","20","0","MFRAZIER","","0","0","0","0","41715"
"22","#2023-07-19 17:43:54.523#","Login  P-95731216:: [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 17:43:54.523#","","","20","0","","","0","0","0","0","41716"
"23","#2023-07-19 17:48:04.376#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 17:48:04.376#","","","20","0","WBLANTON","","0","0","0","0","41717"
"24","#2023-07-19 18:01:46.296#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 18:01:46.296#","","","20","0","WBLANTON","","0","0","0","0","41718"
"25","#2023-07-19 18:05:08.239#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 18:05:08.239#","","","20","0","WBLANTON","","0","0","0","0","41719"
"26","#2023-07-19 18:19:04.885#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 18:19:04.885#","","","20","0","WBLANTON","","0","0","0","0","41720"
"27","#2023-07-19 20:17:22.640#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 20:17:22.640#","","","20","0","WBLANTON","","0","0","0","0","41721"
"28","#2023-07-19 20:30:40.536#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-19 20:30:40.536#","","","20","0","WBLANTON","","0","0","0","0","41722"
"29","#2023-07-19 21:06:46.053#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 21:06:46.053#","","","20","0","","","0","0","0","0","41723"
"30","#2023-07-19 21:06:46.053#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 21:06:46.053#","","","20","0","","","0","0","0","0","41724"
"31","#2023-07-19 21:06:46.398#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 21:06:46.398#","","","20","0","","","0","0","0","0","41725"
"32","#2023-07-19 21:06:48.410#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 21:06:48.410#","","","20","0","","","0","0","0","0","41726"
"33","#2023-07-19 21:06:49.200#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-19 21:06:49.200#","","","20","0","","","0","0","0","0","41727"
"34","#2023-07-20 12:49:20.450#","Login P2-2324-WB::WBLANTON success","ALLZONES","#2023-07-20 12:49:20.450#","","","20","0","WBLANTON","","0","0","0","0","41728"
"35","#2023-07-20 13:02:34.014#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-20 13:02:34.014#","","","20","0","WBLANTON","","0","0","0","0","41729"
"36","#2023-07-20 13:04:08.744#","Login P-95731216::mfrazier success","ALLZONES","#2023-07-20 13:04:08.744#","","","20","0","MFRAZIER","","0","0","0","0","41730"
"37","#2023-07-20 13:15:18.457#","Logout P-95731216::mfrazier success","ALLZONES","#2023-07-20 13:15:18.457#","","","20","0","MFRAZIER","","0","0","0","0","41731"
"38","#2023-07-20 15:54:14.690#","Login Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-20 15:54:14.690#","","","20","0","","","0","0","0","0","41732"
"39","#2023-07-20 15:55:04.571#","Logout Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-20 15:55:04.571#","","","20","0","","","0","0","0","0","41733"
"40","#2023-07-20 15:59:54.687#","Login Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-20 15:59:54.687#","","","20","0","","","0","0","0","0","41734"
"41","#2023-07-20 16:47:48.578#","Login  P-95731216:: [ScadaExcelAddIn] success","ALLZONES","#2023-07-20 16:47:48.578#","","","20","0","","","0","0","0","0","41735"
"42","#2023-07-20 20:36:43.053#","Logout P2-2324-WB::wblanton [StcExplorer] success","ALLZONES","#2023-07-20 20:36:43.053#","","","20","0","WBLANTON","","0","0","0","0","41736"
"43","#2023-07-20 21:08:53.213#","Logout P-95731216::ANONYMOUS [ScadaExcelAddIn] success","ALLZONES","#2023-07-20 21:08:53.213#","","","20","0","","","0","0","0","0","41737"
"44","#2023-07-20 22:00:05.144#","Logout Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-20 22:00:05.144#","","","20","0","","","0","0","0","0","41738"
"45","#2023-07-20 22:00:05.286#","Session Expired Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-20 22:00:05.286#","","","20","0","","","0","0","0","0","41739"
"46","#2023-07-21 12:35:24.660#","Login Web User jmeadors () 10.115.0.38","ALLZONES","#2023-07-21 12:35:24.660#","","","20","0","","","0","0","0","0","41740"
"47","#2023-07-21 13:11:24.072#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-21 13:11:24.072#","","","20","0","WBLANTON","","0","0","0","0","41741"
"48","#2023-07-21 13:15:40.109#","Session Expired Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-21 13:15:40.109#","","","20","0","","","0","0","0","0","41742"
"49","#2023-07-21 13:15:46.239#","Login Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-21 13:15:46.239#","","","20","0","","","0","0","0","0","41743"
"50","#2023-07-21 13:24:37.966#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-21 13:24:37.966#","","","20","0","WBLANTON","","0","0","0","0","41744"
"51","#2023-07-21 15:22:59.264#","Logout Web User jmeadors () 10.115.0.38","ALLZONES","#2023-07-21 15:22:59.264#","","","20","0","","","0","0","0","0","41745"
"52","#2023-07-21 16:55:29.794#","Login Web User jmeadors () 10.115.0.38","ALLZONES","#2023-07-21 16:55:29.794#","","","20","0","","","0","0","0","0","41746"
"53","#2023-07-21 17:02:28.775#","Logout ENGR::ANONYMOUS [SmartVU2] success","ALLZONES","#2023-07-21 17:02:28.775#","","","20","0","","","0","0","0","0","41747"
"54","#2023-07-21 17:02:28.807#","Login  ENGR:: [SmartVU2] success","ALLZONES","#2023-07-21 17:02:28.807#","","","20","0","","","0","0","0","0","41748"
"55","#2023-07-21 17:55:23.626#","Logout Web User jmeadors () 10.115.0.38","ALLZONES","#2023-07-21 17:55:23.626#","","","20","0","","","0","0","0","0","41749"
"56","#2023-07-22 01:35:44.988#","Login  ENGR::wblanton [SmartVU2] failed","ALLZONES","#2023-07-22 01:35:44.988#","","","28","0","WBLANTON","","0","0","0","0","41750"
"57","#2023-07-22 01:35:50.667#","Login  ENGR::wblanton [SmartVU2] success","ALLZONES","#2023-07-22 01:35:50.667#","","","20","0","WBLANTON","","0","0","0","0","41751"
"58","#2023-07-22 01:46:01.424#","Login  ENGR:: [SmartVU2] success","ALLZONES","#2023-07-22 01:46:01.424#","","","20","0","","","0","0","0","0","41752"
"59","#2023-07-22 01:46:01.453#","Logout ENGR::wblanton success","ALLZONES","#2023-07-22 01:46:01.453#","","","20","0","WBLANTON","","0","0","0","0","41753"
"60","#2023-07-24 09:55:05.557#","Logout Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-24 09:55:05.557#","","","20","0","","","0","0","0","0","41754"
"61","#2023-07-24 09:55:05.682#","Session Expired Web User svarnadore () 10.115.0.38","ALLZONES","#2023-07-24 09:55:05.682#","","","20","0","","","0","0","0","0","41755"
"62","#2023-07-24 11:49:17.771#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-24 11:49:17.771#","","","20","0","WBLANTON","","0","0","0","0","41756"
"63","#2023-07-24 12:02:24.158#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-24 12:02:24.158#","","","20","0","WBLANTON","","0","0","0","0","41757"
"64","#2023-07-24 12:23:41.167#","Logout ENGR::ANONYMOUS [SmartVU2] success","ALLZONES","#2023-07-24 12:23:41.167#","","","20","0","","","0","0","0","0","41758"
"65","#2023-07-24 12:46:36.605#","Logout Web User mregier () 10.115.0.38","ALLZONES","#2023-07-24 12:46:36.605#","","","20","0","","","0","0","0","0","41759"
"66","#2023-07-24 12:46:37.585#","Session Expired Web User mregier () 10.115.0.38","ALLZONES","#2023-07-24 12:46:37.585#","","","20","0","","","0","0","0","0","41760"
"67","#2023-07-24 12:46:40.785#","Login Web User mregier () 10.115.0.38","ALLZONES","#2023-07-24 12:46:40.785#","","","20","0","","","0","0","0","0","41761"
"68","#2023-07-24 12:46:54.994#","Logout Web User mregier () 10.115.0.38","ALLZONES","#2023-07-24 12:46:54.994#","","","20","0","","","0","0","0","0","41762"
"69","#2023-07-24 12:47:02.118#","Login Web User mregier () 10.115.0.38","ALLZONES","#2023-07-24 12:47:02.118#","","","20","0","","","0","0","0","0","41763"
"70","#2023-07-24 14:56:45.441#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-24 14:56:45.441#","","","20","0","WBLANTON","","0","0","0","0","41764"
"71","#2023-07-24 15:20:39.766#","Logout ENGR::ANONYMOUS [SmartVU2] success","ALLZONES","#2023-07-24 15:20:39.766#","","","20","0","","","0","0","0","0","41765"
"72","#2023-07-24 15:20:39.766#","Logout ENGR::ANONYMOUS [SmartVU2] success","ALLZONES","#2023-07-24 15:20:39.766#","","","20","0","","","0","0","0","0","41766"
"73","#2023-07-24 15:20:39.797#","Logout ENGR::ANONYMOUS [SmartVU2] success","ALLZONES","#2023-07-24 15:20:39.797#","","","20","0","","","0","0","0","0","41767"
"74","#2023-07-24 15:27:10.422#","Logout P2-2324-WB::wblanton success","ALLZONES","#2023-07-24 15:27:10.422#","","","20","0","WBLANTON","","0","0","0","0","41768"
"75","#2023-07-24 15:43:02.181#","Login P2-2324-WB::wblanton success","ALLZONES","#2023-07-24 15:43:02.181#","","","20","0","WBLANTON","","0","0","0","0","41769"
