"PKEY","NAME","DESC","PROJECTID","PROJECTMAP","ZONEID","UPDATETIME","USERTYPEID","PARENTSID","TRAINMODE","CNTLSELECT","UNACKDALRM","CONDCODEID","ALRMPRIOR","BELLDIS","MAINT","MAINTSTART","MAINTEND","MAINTAUTOE","MAINTUSERS","MAINTUSERE","MAINTCOMNT","UNKCNTALRM","UNKCNTP0","UNKCNTP1","UNKCNTP2","UNKCNTP3","UNKCNTP4","UNKCNTP5","UNKCNTP6","UNKCNTP7","UNKCNTP8","UNKCNTP9","UNKCNTP10","UNKCNTP11","UNKCNTP12","UNKCNTP13","UNKCNTP14","UNKCNTP15","ACTCNTALRM","ACTCNTP0","ACTCNTP1","ACTCNTP2","ACTCNTP3","ACTCNTP4","ACTCNTP5","ACTCNTP6","ACTCNTP7","ACTCNTP8","ACTCNTP9","ACTCNTP10","ACTCNTP11","ACTCNTP12","ACTCNTP13","ACTCNTP14","ACTCNTP15","HSTRNGRP","TAGLEVEL"
"1","SYS$","System Points Station","0","0","ALLZONES","#2024-05-30 19:59:00.710#","DIGITAL","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2","MOONBEAM","Test Site","0","0","ALLZONES","#2024-02-02 14:32:28.523#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"3","Weather","weather data for history and load forecasting & estimation","0","0","ALLZONES","","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"4","ABB01","Abbeville","0","0","ALLZONES","#2024-04-17 13:07:27.795#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"5","CLI01","Clinton #1","0","0","ALLZONES","#2024-05-07 12:54:42.501#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"6","CLI02","Clinton #2","0","0","ALLZONES","#2024-05-07 12:53:43.842#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"7","EAS01","Easley #1","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"8","EAS03","Easley #3","0","0","ALLZONES","#2024-04-16 15:27:20.672#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"9","EAS04A","Easley #4A","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"10","EAS04B","Easley #4B","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"11","EAS05","Easley #5","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"12","EAS06","Easley #6","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"13","GAF01A","Gaffney #1A","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"14","GAF01B","Gaffney #1B","0","0","ALLZONES","#2024-05-06 13:03:13.152#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"15","GAF02","Gaffney #2","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"16","GRE02A","Greer #2A","0","0","ALLZONES","#2024-04-16 15:26:35.998#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"17","GRE02B","Greer #2B","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"18","GRE03A","Greer #3A","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"19","GRE03B","Greer #3B","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"20","GRE04A","Greer #4A","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"21","GRE04B","Greer #4B","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"22","LAU03","Laurens #3","0","0","ALLZONES","#2024-04-25 12:45:53.271#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"23","LAU04A","Laurens #4A","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"24","LAU04B","Laurens #4B","0","0","ALLZONES","#2024-05-16 13:07:02.393#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"25","NEW02","Newberry #2","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"26","NEW03","Newberry #3","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"27","NEW04","Newberry #4","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"28","ROC10","Rock Hill #10 (Charlotte Ave)","0","0","ALLZONES","#2024-04-16 15:26:36.006#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"29","ROC11","Rock Hill #11 (Blackmon #2)","0","0","ALLZONES","#2024-04-16 15:26:36.006#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"30","ROC04","Rock Hill #4 (Huey #3)","0","0","ALLZONES","#2018-04-16 14:23:46.900#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"31","ROC05","Rock Hill #5 (Hwy 5 #4)","0","0","ALLZONES","#2024-04-22 13:43:59.963#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"32","ROC06","Rock Hill #6 (Springdale #5)","0","0","ALLZONES","#2024-04-16 15:26:36.006#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"33","UNI01","Union #1","0","0","ALLZONES","#2024-05-28 11:46:06.617#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"34","UNI04","Union #4","0","0","ALLZONES","#2024-05-23 17:13:43.032#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"35","UNI06","Union #6","0","0","ALLZONES","#2024-05-22 12:37:04.005#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"36","WES01","Westminster","0","0","ALLZONES","#2024-05-28 15:58:55.987#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"37","Duke","Duke (Charlotte)","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"38","KOHLER_GEN","PMPA Generator Site","0","0","ALLZONES","#2024-05-28 15:58:55.971#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"39","Southern","Southern (Birmingham)","0","0","ALLZONES","#2012-12-03 22:19:28.124#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"40","ROC07A","Rock Hill #7A (Homestead Rd)","0","0","ALLZONES","#2024-04-16 15:26:36.006#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"41","GRE06","Greer #6","0","0","ALLZONES","#2023-01-04 13:18:21.911#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"42","GRE05A","Greer #5A","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"43","GRE05B","Greer #5B","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"44","Bob","Greer #5A (CLONE)","0","0","ALLZONES","#2014-10-23 14:55:11.568#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"45","ROC08","Rock Hill #8 (Stewart Ave)","0","0","ALLZONES","#2024-04-16 15:26:36.006#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"46","GRE07A","Greer #7A","0","0","ALLZONES","#2024-05-06 12:38:02.534#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"47","GRE07B","Greer #7B","0","0","ALLZONES","#2024-04-16 15:26:43.779#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"48","NEW05A","Newberry #5A","0","0","ALLZONES","#2024-04-16 15:26:36.010#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"49","NEW05B","Newberry #5B","0","0","ALLZONES","#2024-05-09 12:57:49.978#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"50","Santee","Southern (Birmingham) (CLONE)","0","0","ALLZONES","#2024-04-16 15:26:43.775#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"51","ROC09","Rock Hill #9 (Riverwalk Pkwy)","0","0","ALLZONES","#2024-04-16 15:26:36.002#","STATION","","0","0","0","1","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"52","ROC12","Rock Hill #12 (Huey #3)","0","0","ALLZONES","#2024-04-17 13:07:27.795#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"53","NEW06A","Newberry #6A","0","0","ALLZONES","#2024-05-29 18:31:17.371#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"54","NEW06B","Newberry #6B","0","0","ALLZONES","#2024-04-16 15:26:36.006#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"55","PMPA_HOURLY_LOAD_FORECAST","Contains the hourly PMPA load forecast points","0","0","ALLZONES","#2019-06-07 16:00:24.265#","DIGITAL","SYS$","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"56","ROC07B","Rock Hill #7B (Homestead Rd)","0","0","ALLZONES","#2024-04-17 13:07:11.848#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"57","Bob4","Greer #5A (CLONE)","0","0","ALLZONES","#2021-05-18 13:08:43.961#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"58","JEMSTAR2_TEST","Test Station for JEMSTAR2 Meters","0","0","ALLZONES","#2021-05-25 12:32:45.318#","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"59","COMM_STATS","Commline Statistics","0","0","ALLZONES","","CALC","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"60","Surplus","Surplus sales points","0","0","ALLZONES","","CALC","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"61","PMPA_Peaks","PMPA Peak Information","0","0","ALLZONES","","STATION","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"62","GBPW_DE","Data Exchange for GBPW's WebSurv Map","0","0","NO_EMAILS","#2024-03-20 19:43:52.646#","PRIIP","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"63","GCPW_DE","Data Exchange with GCPW for Generators","0","0","NO_EMAILS","#2024-05-09 20:56:59.708#","PRIIP","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"64","ENERGY_AUDIT","Points for Audting 3rd Party Invoices","0","0","ALLZONES","","CALC","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"65","TEA","Data from The Energy Authority API","0","0","ALLZONES","","CALC","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"66","CORH_DE","Data Exchange with Rock Hill for Generators","0","0","NO_EMAILS","#2024-05-28 15:58:55.971#","PRIIP","","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"67","ABB02","Abbeville #2","0","0","ALLZONES","#2024-05-13 20:00:35.717#","STATION","","0","0","0","1","3","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","0"
