"PKEY","STATIONPID","NAME","DESC","PROJECTID","ZONEID","USERTYPEID","TIMESTAMP","UPDATETIME","REFRSHTIME","CAPTURTIME","RTUID","TIMEQUAL","INPUTINUSE","CTRL0INUSE","CTRL1INUSE","INPUTA","INPUTB","INPUTC","INPUTD","INPUTM","CTRLRTUID","CTRL0A","CTRL0B","CTRL0C","CTRL0D","CTRL0M","CTRL1A","CTRL1B","CTRL1C","CTRL1D","CTRL1M","TIMEOUT","VOICEID0","VOICEID1","VOICEID2","VOICEID3","METERPID","LOCKOUTPID","LOCKOUTTMR","ALARMSEV0","ALARMSEV1","ALARMSEV2","ALARMSEV3","ALARMSKLID","ANNUNDELAY","TRANSTIME0","TRANSTIME1","TRANSTIME2","TRANSTIME3","CTRINTPID","CTRINTVAL","CTRINTTYPE","TRANSCOUNT","PRVLGMODE","ALARMSBLCK","UNACKDALRM","INTERLOCK","VALUE","NORMSTATE","CNTRLSTATE","CONDCODEID","PREFSUFFID","FORMATID","ALARMTASK","UNKCNTALRM","TAGLEVEL","PHASE","DEVCLASSID","ALLBLKALRM","EXISTALRM","SUPRSDALRM","SOEEVNTDIS","OUTAGEENA","EDRDISABLE","SPRTMENA","REANTMENA","REANTMACT","FLAGS","NOMANFLAG","COMMANDED","SCSENABLED","NMS","IGNORETE","ACHATTERID","REMOTEDLY","REMOTEABN","IEDINPINUS","IEDID","IEDREFNAME","IEDINDEX","IEDINPUTA","IEDINPUTB","IEDINPUTC","IEDINPUTD","IEDINPUTE","IEDINPUTF","IEDINPUTG","IEDINPUTH","IEDC0INUSE","IEDCTRL0A","IEDCTRL0B","IEDCTRL0C","IEDCTRL0D","IEDCTRL0E","IEDCTRL0F","IEDCTRL0G","IEDCTRL0H","IEDC1INUSE","IEDCTRL1A","IEDCTRL1B","IEDCTRL1C","IEDCTRL1D","IEDCTRL1E","IEDCTRL1F","IEDCTRL1G","IEDCTRL1H","EXTNAMET","EXTNAME","EXTNAMECT","EXTNAMEC","EXTNAMEC1T","EXTNAMEC1","DISTCAPT","HSTRNSND","MAINT","MAINTVALUE","VOLTAGE","BAYID","BAYCANCTRL","COMMISSION","METAINFOID"
"SYS$,SCADA:S","SYS$","SCADA","Default Alarm Point","0","ALLZONES","MASTER","#2005-09-29 23:53:38.171#","#2024-05-29 18:31:17.371#","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","1","2","3","4","FORMAT01","0","0","0","0","0","","0","1","2","1","0","0","0","0","1","0","1","NORMALALARM","1","","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","0","","","0","",""
"SYS$,ALFULL:S","SYS$","ALFULL","Alarm File Full Point 1","0","ALLZONES","MASTER","#2005-09-02 16:33:38.343#","#2024-02-22 14:03:44.409#","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","1","2","3","4","FORMAT01","0","0","0","0","0","","0","1","0","1","0","0","0","0","0","0","1","NORMALALARM","1","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","0","","","0","",""
"SYS$,HOSTA:S","SYS$","HostA","Host A state","0","ALLZONES","MASTER","#2024-05-13 20:03:30.250#","#2024-05-31 13:07:15.261#","#2024-05-31 13:07:15.261#","#2024-05-13 20:03:30.250#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","MESSAGE","MESSAGE","MESSAGE","MESSAGE","","","0","3","2","3","2","FORMAT01","0","0","0","0","0","","0","1","1515","1","0","0","0","1","0","0","1","MASTERSTANDBY","1","","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","1","","","0","",""
"SYS$,HOSTB:S","SYS$","HostB","Host B state","0","ALLZONES","MASTER","#2024-05-13 20:00:45.253#","#2024-05-31 13:07:15.261#","#2024-05-31 13:07:15.261#","#2024-05-13 20:00:45.253#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","MESSAGE","MESSAGE","MESSAGE","MESSAGE","","","0","3","2","3","2","FORMAT01","0","0","0","0","0","","0","1","2510","1","0","0","0","0","0","0","1","MASTERSTANDBY","1","","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","0","","","0","",""
"SYS$,ANNUNCIATION:S","SYS$","Annunciation","Status","0","ALLZONES","MASTER","#2006-01-12 20:25:11.512#","#2012-05-14 15:15:32.957#","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","2","2","2","2","FORMAT01","0","0","0","0","0","","0","1","5","0","0","0","0","1","1","0","1","OFFON","1","","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","0","","","0","",""
"SYS$,LOGGER1:S","SYS$","Logger1","Logger1   ","0","ALLZONES","MASTER","#2021-08-18 16:57:11.471#","#2021-08-26 18:57:10.797#","#2021-08-18 16:57:11.471#","#2021-08-18 16:57:11.471#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","3","3","3","3","FORMAT01","0","0","0","0","0","","0","1","34","0","0","0","0","1","1","0","1","DOWNNORMAL","1","","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","1","","","0","",""
"SYS$,PMPAGEN_RTU:S","SYS$","PMPAGEN_RTU","RTU device  status","0","NO_EMAILS","RTU","#2024-05-18 00:59:56.848#","#2024-05-20 12:42:42.533#","#2024-05-18 00:59:56.848#","#2024-05-18 00:59:56.848#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","MESSAGE","MESSAGE","MESSAGE","","","","0","3","2","3","3","FORMAT01","1","0","0","0","0","","0","1","4170","0","0","0","0","1","1","0","1","DOWNNORMAL","1","","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","1","","","0","",""
"SYS$,GREER_SRV:S","SYS$","GREER_SRV","Data Exchange Link To Greer","0","ALLZONES","COMMLINE","#2024-05-26 21:28:43.980#","#2024-05-28 11:46:06.617#","#2024-05-26 21:28:43.980#","#2024-05-26 21:28:43.980#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","MESSAGE","MESSAGE","","","","","0","3","2","3","3","FORMAT01","5","0","0","0","0","","0","1","4391","0","0","0","0","1","1","0","1","DOWNNORMAL","1","","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","1","","","0","",""
"DUKE,SYSTEM_LOAD_STATUS:S","DUKE","SYSTEM_LOAD_STATUS","Duke System Load Status","0","ALLZONES","IPSTATUS","#2024-05-21 16:40:15.256#","#2024-05-31 13:07:15.261#","#2024-05-31 13:07:15.261#","#2024-05-21 16:40:15.256#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","FORMAT01","0","0","0","0","0","","0","0","9789","0","0","0","0","0","0","0","1","INPUTSTATUS","0","","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","0","","","0","",""
"DUKE,CATAWBA1_GROSS_STATUS:S","DUKE","CATAWBA1_GROSS_STATUS","Catawba #1 Gross Output Status","0","ALLZONES","IPSTATUS","#2024-05-21 16:40:15.256#","#2024-05-31 13:07:15.261#","#2024-05-31 13:07:15.261#","#2024-05-21 16:40:15.256#","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","FORMAT01","0","0","0","0","0","","0","0","10966","0","0","0","0","0","0","0","1","INPUTSTATUS","0","","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","0","","","0","",""
