"PKEY","SECTION","NAME","VALUE","TYPE","DESC"
"1","TLCalc","LoopInterval","15","85","TLCalc loop interval (sec)"
"2","System","DeviceSelectTmo","30","85","Device Select Timeout (sec)"
"3","System","OperatorInterfaceTmo","30","85","Operator Interface Timeout (sec)"
"4","System","PrivilegeTmo","600","85","Privilege Timeout (sec)"
"5","System","LocalTimeBias","240","85","Local time bias (min)"
"6","System","ReplicatorCount","0","85","Number of replicators"
"7","Alarms","OHydro","0","85","Ontario Hydro Behavior (true/false)"
"8","Alarms","UpdateValues","0","85","Update values in existing alarms (true/false)"
"9","Alarms","DeleteRedundant","0","85","Delete redundant alarms (true/false)"
"10","Alarms","NoSuppressLog","0","85","Don't log suppressed alarms (true/false)"
"11","Alarms","P1Unacked","1","85","Priority 1 alarms must be acked (true/false)"
"12","Alarms","TranscribeRate","0","85","Alarm transcribe to disk rate (Seconds)"
"13","Alarms","FlushRate","0","85","Alarm flush to disk rate (Seconds)"
"14","Alarms","DualUps","0","85","Dual UPS devices in use (true/false)"
"15","Alarms","Unattended","0","85","Alarms Unattended Mode"
"16","Alarms","FastFile","0","85","Alarms Fast File Processing"
"17","Alarms","LogAcks","0","85","Alarm Acknowledgment logging"
"18","Alarms","NoStationAcks","0","85","Alarm No Station Acknowledgments"
"19","Alarms","AlarmTimeout","60","85","Alarm Timeout (mins)"
"20","Alarms","HistoryCount","0","85","Alarm held in history"
"21","Alarms","HighPerformance","0","85","High performance alarms(true/false)"
"22","Alarms","SupRaiseDelay","0","85","Master/Slave Suppression Raise Delay(Seconds)"
"23","Alarms","SupDelay","0","85","Master/Slave Suppression Delay(Seconds)"
"24","Alarms","SupReannDelay","0","85","Master/Slave Suppression Reannunciation Delay(Seconds)"
"25","Thist","Interval","1","85","Observation Time in seconds"
"26","Tstat","LogControlReject","0","85","Log control rejections(true/false)"
"27","Tstat","ControlsDisabled","0","85","Control disabled(true/false)"
"28","Tstat","RejectControlTF","0","85","Reject control if TF(true/false)"
"29","Tstat","RejectControlMS","0","85","Reject control if MS(true/false)"
"30","Tstat","IgnoreHoldoffTags","0","85","Ignore holdoff tags(true/false)"
"31","Tstat","IgnoreInterlock","0","85","Ignore interlock(true/false)"
"32","Tlalog","StartupDelay","300000","85","Delay before tlalog starts (msec)"
"33","Tlalog","WakeInterval","15000","85","Wakeup interval (msec)"
"34","Tlalog","FlushInterval","60000","85","Interval to flush points (msec)"
"35","Tlalog","MinMaxEnable","1","85","Min/Max Enable (true/false)"
"36","Tlalog","MinMaxCalcInterval","15000","85","Min/Max calc interval (msec)"
"37","Tlalog","MinMaxFlushInterval","120000","85","Min/Max flush interval (msec)"
"38","Tlalog","ChangeLimitInterval","3600000","85","Interval of changing limits"
"39","SetCop","WakeInterval","5000","85","Wakeup interval (msec)"
"40","SetCop","CopyInterval","10000","85","Interval to copy setpoints (msec)"
"41","SetCop","ErrorDelay","60000","85","Delay after setpoint failure (msec)"
"42","Tag","UniqueTagNumbers","0","85","Unique tag numbers (true/false)"
"43","Accounting","OpensEnable","1","85","Count open operations (true/false)"
"44","Accounting","ClosesEnable","1","85","Count close operations (true/false)"
"45","Accounting","OperatorEnable","1","85","Count operator operations (true/false)"
"46","Guarantees","SerNo","0","85","Current guarantee serial number"
"47","SwitchOrders","SerNo","0","85","Current Switch Order serial number"
"48","Alarms","WarnNoZones","0","85","Warn if no workstation handles alarm's zones"
"49","LoadManagement","LMInterval","300","85","Load Management interval (sec)"
"50","LoadManagement","LMOffset","0","85","Load Management hourly offset (sec)"
"51","LoadManagement","TxInterval","300","85","Load Management (PFC) re-transmission interval (sec)"
"52","LoadManagement","ShortRetries","2","85","Re-transmit 1-way LM command (counter)"
"53","LoadManagement","RetryInterval","500","85","Re-transmit 1-way LM command (interval, msec)"
"54","DistCapt","BeforeFrequency","15","85","Capture frequency before disturbance"
"55","DistCapt","AfterFrequency","5","85","Capture frequency after disturbance"
"56","DistCapt","BeforeInterval","300","85","Capture interval before disturbance"
"57","DistCapt","AfterInterval","300","85","Capture interval after disturbance"
"58","Alarms","ColorScheme","","85",""
"59","Log","SCADASERVER","00000","67","Init,Error,Low,Middle,High"
"60","Log","THIST","00000","67","Init,Error,Low,Middle,High"
"61","Log","TSTAT","00000","67","Init,Error,Low,Middle,High"
"62","Log","TLALOG","00000","67","Init,Error,Low,Middle,High"
"63","Log","FSEND","00000","67","Init,Error,Low,Middle,High"
"64","Log","FRECV","00000","67","Init,Error,Low,Middle,High"
"65","Log","TLCALC","00000","67","Init,Error,Low,Middle,High"
"66","Tlalog","MinMaxMonthly","0","85","Min/Max Monthly (true/false)"
"67","WorldView","ReserveEnabled","1","85","WorldView Reservation System enabled (true/false)"
"68","WorldView","ReservePath","\\10.115.0.10\scada\WorldView","67","WorldView Reservation Directory"
"69","WorldView","ProjectorIpAddressA","LocalHost","67","Projector Computer's IP Address A"
"70","WorldView","ProjectorIpAddressB","","67","Projector Computer's IP Address B"
"71","Tstat","LockoutTimer","30","85","Lockout timer (0-300 seconds)"
"72","LoadManagement","PfcMethod","0","85","Capacitor control by Pwr Factor or KVARs"
"73","Frecv","SetTimeFromMaster","1","85","Set the time from the master"
"74","Accounting","OutageThreshold","0","85",""
"75","System","EnableControlRtu","0","85","Enable Control RTU"
"76","Tstat","ControlNoTemeletry","0","85","Control if No telemetry (0=simulate always,1=Simulate if timeout 0)"
"77","IEC61131","Instances","2","85","Number of OpenPCS target PLC instances to run"
"78","FdirLogger","SerNo","0","85","Current FDIR Logger serial number"
"79","System","LoginTmo","","85",""
"80","LoadManagement","VrInterval","900","85","Voltage Reduction control interval (sec)"
"81","RepSched","ShellInUse","1","85","Does Repsched use Shell for reports ?"
"82","RepSched","ShellWaitTimeout","10","85","Seconds to wait for Shell completion"
"83","RepSched","ShellKillAfter","600","85","Seconds to keep Shell alive before killing"
"84","LoadManagement","NoFdrPass","0","85","Flag to disable Feeder Correction Pass in PFC"
"85","Tlalog","MonthlyConverted","0","85","Monthly data conversion done"
"86","SwitchOrders","ChainedRestorations","0","85","Switch Order's Restorations can be chained (Hamilton)"
"87","System","SyncedAt","jÈøôŸÚjÈøôŸÚ","84","Synced at"
"88","System","SyncedBy","HostA","67","Synced by"
"89","System","ControlPasswordRequired","0","85","Control Password Required"
"90","Alarms","StationAcksChildren","0","85","Station Acknowledges Children"
"91","Oms","CallIdType","1","85","Caller ID interface type (1=Whozz Calling/Zeus)"
"92","Oms","CallIdPort","3520","85","Caller ID listening port number"
"93","Oms","CallIdLines","8","85","Total number of phone lines in Caller ID interface"
"94","Oms","CallAgeLimit","86400","85","Age limit for matching caller to a previous call record (sec)"
"95","Oms","RecordLockTimeout","600","85","Timeout for Call or Case record locked by a client for editing (sec)"
"96","Oms","RecordLockWarning","30","85","Warn user that a record lock is about to time out (sec)"
"97","Oms","CaseRollover","999999999","85","Roll-over value for outage case serial numbers"
"98","Oms","CaseSerNo","0","85","Last outage case serial number"
"99","Oms","TempDevSerNo","0","85","Last temporary device serial number"
"100","Oms","SevCustomers","1.0","68","Weighting factor for Severity calculation - # customers"
"101","Oms","SevKva","0.0","68","Weighting factor for Severity calculation - # KVA"
"102","Oms","SevPriority","0.0","68","Weighting factor for Severity calculation - priority"
"103","Oms","SevDuration","0.0","68","Weighting factor for Severity calculation - duration"
"104","Oms","OutThresh","60","85","Minimum time of an outage or restoration (sec)"
"105","Oms","TcsCallSerNo","0","85","Serial number of last imported TCS call record"
"106","Oms","WorkItemSerNo","0","85","Last work item serial number"
"107","Oms","MBCount","3","85","Number of Meters within proximity to create a Meter Block"
"108","Oms","MBProximity","2.0","68","Max distance between Meters to create a Meter Block (m)"
"109","TLCalc","UseTimestamps","0","85","Use event timestamps in segments"
"110","System","GatewayFeatures","0","85","Gateway Features"
"111","System","MeasurementSystem","0","85","Default Measurement System"
"112","System","MaxReportRecords","100000","85","Max number of report records"
"113","Alarms","MaintAtNormal","0","85","Raise maintenance alarms at normal priority (do not force 0)"
"114","Alarms","ControlSuccess","1","85","Status change for successful controls are raised at priority 0"
"115","LoadManagement","TSWStatPid","0","80","Time Share Window Status PID"
"116","LoadManagement","TSWOverPid","0","80","Time Share Window Overflow count analog PID"
"117","LoadManagement","TSWSize","0","85","Time Share Window size (messages)"
"118","LoadManagement","TSWDuration","0","85","Time Share Window duration (seconds)"
"119","LoadManagement","TSWInterval","0","85","Time Share Window interval (seconds)"
"120","LoadManagement","TSWOffset","0","85","Time Share Window hourly offset (seconds)"
"121","Oms","WorkItemRollover","999999999","85","Roll-over value for work item serial numbers"
"122","Oms","ExclCallIfNoCircuit","0","85","Exclude call if no circuit"
"123","Oms","IndexCalcTime","0100","85","Time of day to execute reliability index calculations"
"124","Oms","AlarmUncomplWorkItems","0","85","Enable alarm work item completion is late"
"125","Oms","AlarmUncomplWorkPriority","0","85","Alarm priority for work item completion late alarm"
"126","Oms","AlarmUncomplWorkItemsThresh","0","85","Number of minutes following completion time that constitutes late"
"127","Oms","EnableCustomerSerivceDetails","0","85","Customer service details in the customer database"
"128","Oms","CallbacksSkipValidation","0","85","Skip callback validation"
"129","Oms","TransCaseEnable","1","85","Allow outage cases to be located at a transformer (by Call Analysis)"
"130","Oms","NewCallAlarmPriority","3","85","New outage call alarm priority"
"131","Oms","AutoPingEnable","0","85","Enable automatic meter ping analysis for external triggers"
"132","Oms","AutoPngIntCallEn","0","85","Enable automatic meter ping analysis for internal calls"
"133","Oms","AutoPngExtCallEn","0","85","Enable automatic meter ping analysis for external calls"
"134","Oms","AutoPingMeterCount","3","85","Number of meters to auto-ping below each device"
"135","Oms","AutoCallAnalysisEnable","0","85","Enable automatic call analysis"
"136","Oms","AutoCallAnalysisThresh","3","85","N number of new calls which triggers an automatic call analysis"
"137","Oms","MtrExeLogging","0","85","Meter Exec file logging"
"138","Oms","MtrExeMaxItemImport","500","85","MtrExec Max # of import items per packet (if 0 default is 500)"
"139","Oms","DisableMultiplePings","0","85","Disables the ability to issue multiple pings"
"140","Oms","UseExtensionNumbers","0","85","Use extension number provided by phone sstem"
"141","Oms","ImportFailureAlarmPriority","3","85","Import Failure alarm priority"
"142","Oms","CallReuseAgeLimit","24","85","Call records are re-used if within the age limit(hours). Re-use increments the call count."
"143","Oms","CallReuseAgeLimitAssigned","120","85","T=HZ;52000000640000001DCAC10D80200C46E155FEA31E740937708306AA342990B425AE2FE1FABD77912A8C53B7EC2077791B67444722E729C6B31EC327CA834FA248431406BD0C952AB1953ECCF713F7FA202D19576EE1EB4BA43F"
"144","Oms","CallAnalyseAgeLimit","48","85","Call records included in call analysis if within the age limit (hours)."
"145","Oms","TwtPreambleNew","","67","Include this preamble in tweet (new outage)"
"146","Oms","TwtPreambleUpdate","","67","Include this preamble in tweets (existing outage)"
"147","Oms","TwtPreambleRest","","67","Include this preamble in tweets (restored outage)"
"148","Oms","TwtArea","0","85","Include subdivision/district in tweets"
"149","Oms","TwtETOR","0","85","Include ETOR in tweets"
"150","Oms","TwtLink","","67","Include this Portal URL in tweets"
"151","Oms","TwtCompanyHashtag","","67","Include this company hashtag in all tweets"
"152","Oms","TwtFreeTxt","1","85","Allow free-form text in tweets (otherwise restricted to predefined text)"
"153","Oms","TwtAutoTime","5","85","Delay automatically-sent tweets (minutes) (>= minimum outage time)"
"154","Oms","TwtAutoScada","0","85","Automatically send tweet on SCADA-verified cases"
"155","Oms","TwtAutoManual","0","85","Automatically send tweet on manually-verified cases"
"156","Oms","TwtAutoETR","0","85","Automatically send tweet whenever ETR revised"
"157","Oms","TwtAutoRest","0","85","Automatically send tweet wehen restoration verified"
"158","Oms","PortalFreeTxt","1","85","Allow free-form text in portal messages (otherwise restricted to predefined text)"
"159","Oms","ProtectiveDevsOnly","0","85","Call Analysis and Go Upline use only line sections marked as Protective Devices"
"160","Oms","AutoCaseVfyEnabled","0","85","Enables automatic case verification for cases created by automatic call analysis"
"161","Oms","AutoCaseVfyAgeLimit","30","85","Age limit of proposed cases used in automatic case verification (minutes)."
"162","Oms","CustomersOutPid","0","80","Statistic point - number of customers currently out"
"163","Oms","EnInterfacesPid","0","80","Enable OMS interfaces"
"164","Oms","EnSchedTasksPid","0","80","Enable scheduled tasks"
"165","Oms","EnableModifyOutagePriority","0","85","Enable modification of outage priority"
"166","Oms","AmiSupportsUnsolEvents","0","85","Specifies that the AMI system suppots unsolicited events."
"167","Psm","PSMInterval","60","85","Protection Setting interval (sec)"
"168","Psm","PSMTagType","","67","PSM Tag Type"
"169","Oms","DisNewCallAlarmInOutage","0","85","Disables new call alarms for events that are in know outage areas"
"170","Oms","StormModeEnabled","0","85","Enables storm mode"
