"PKey","ProjectId","ProjectMap","Name","Desc"
"1","0","0","Digital","User Type 01"
"2","0","0","Type02","User Type 02"
"3","0","0","Type03","User Type 03"
"4","0","0","Type04","User Type 04"
"5","0","0","Type05","User Type 05"
"6","0","0","Type06","User Type 06"
"7","0","0","Type07","User Type 07"
"8","0","0","Type08","User Type 08"
"9","0","0","Type09","User Type 09"
"10","0","0","PriIP","Primary Input Data"
"11","0","0","AltIP","Alternate Input Data"
"12","0","0","SelectedIP","Data from Selected input"
"13","0","0","IPstatus","Pri/Alt input status"
"14","0","0","Calc","Calculated value"
"15","0","0","Type15","User Type 15"
"16","0","0","Type16","User Type 16"
"17","0","0","Type17","User Type 17"
"18","0","0","Type18","User Type 18"
"19","0","0","Type19","User Type 19"
"20","0","0","Type20","User Type 20"
"21","0","0","Type21","User Type 21"
"22","0","0","Type22","User Type 22"
"23","0","0","Type23","User Type 23"
"24","0","0","Type24","User Type 24"
"25","0","0","Type25","User Type 25"
"26","0","0","Type26","User Type 26"
"27","0","0","Type27","User Type 27"
"28","0","0","Type28","User Type 28"
"29","0","0","Type29","User Type 29"
"30","0","0","Type30","User Type 30"
"31","0","0","Type31","User Type 31"
"32","0","0","Type32","User Type 32"
"33","0","0","Type33","User Type 33"
"34","0","0","Type34","User Type 34"
"35","0","0","Type35","User Type 35"
"36","0","0","Type36","User Type 36"
"37","0","0","IEDdata","Telem. or Calc. data from IED"
"38","0","0","Station","Station"
"39","0","0","CommLine","Communication Line"
"40","0","0","RTU","RTU"
"41","0","0","Master","Master station equiment"
"42","0","0","Retired","Retired Station"
"43","0","0","Digital","User Type 01"
"44","0","0","PriIP","Primary Input Data"
"45","0","0","SelectedIP","Data from Selected input"
"46","0","0","Calc","Calculated value"
"47","0","0","Station","Station"
