RTUID,NAME,ENGUNITS,SCALEFACT,STATIONPID,PREMGHI,PREMGSEVHI,EMGHI,EMGSEVHI,PREMGLO,PREMGSEVLO,EMGLO,EMGSEVLO
,Variable4,,1.0,SYS$,0,0,0,0,0,0,0,0
,A_N,A,1.0,NEW02,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KW_COMP,KW,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KW_A,KW,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KW_B,KW,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KW_C,KW,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KVAR,KVAR,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KVAR_A,KVAR,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KVAR_B,KVAR,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_KVAR_C,KVAR,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_V,kV,0.004,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_V_A,kV,0.004,ABB01,0,0,0,0,40,3,0,0
ABB01_PRI,PRI_V_B,kV,0.004,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_V_C,kV,0.004,ABB01,0,0,0,0,40,3,0,0
ABB01_PRI,PRI_A,A,0.4,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_A_A,A,0.4,ABB01,0,0,0,0,5,3,0,0
ABB01_PRI,PRI_A_B,A,0.4,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_A_C,A,0.4,ABB01,0,0,0,0,5,3,0,0
ABB01_PRI,PRI_PF,,0.01,ABB01,0,0,0,0,0,0,0,0
ABB01_CHK,CHK_KVAR_B,KVAR,16.0,ABB01,0,0,0,0,0,0,0,0
ABB01_PRI,PRI_PF_B,,0.01,ABB01,0,0,0,0,0,0,0,0
ABB01_CHK,CHK_KVAR_C,KVAR,16.0,ABB01,0,0,0,0,0,0,0,0
,A_N,A,1.0,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_A_N,A,0.4,CLI02,0,0,0,0,0,0,0,0
