19,STATES.DB
*------------------------------------------------------------------------------*
*  Creation Date/Time:  Wed Jul 24 16:27:00 2024
*------------------------------------------------------------------------------*
1,STATE,0;0,0;1,0;2,1;0,1;1,1;2,1;3,1;4,1;5,2,3;0,3;1,3;2,4,5;0,5;1,5;2,6,7;0,7;1,7;2,8,9;0,9;1,9;2,10,11;0,11;1,11;2,12,13;0,13;1,13;2,14,15;0,15;1,15;2,16,17;0,17;1,17;2,18,19;0,19;1,19;2,20,21;0,21;1,21;2,22,23;0,23;1,23;2,24,25;0,25;1,25;2,26,27;0,27;1,27;2,28,29;0,29;1,29;2,30,31;0,31;1,31;2,32,33;0,33;1,33;2,34,35;0,35;1,35;2,36,37;0,37;1,37;2,38,39;0,39;1,39;2,40,41;0,41;1,41;2,42,43;0,43;1,43;2,44,45;0,45;1,45;2,46,47;0,47;1,47;2,48,49;0,49;1,49;2,50,51;0,51;1,51;2,52,53;0,53;1,53;2,54,55;0,55;1,55;2,56,57;0,57;1,57;2,58,59;0,59;1,59;2,60,61;0,61;1,61;2,62,63;0,63;1,63;2,64,65;0,65;1,65;2,66,67;0,67;1,67;2,68,69;0,69;1,69;2
*,record,description,description[1],description[2],color,color[1],color[2],color[3],color[4],color[5],names_0,attrib_0,attrib_0[1],attrib_0[2],names_1,attrib_1,attrib_1[1],attrib_1[2],names_2,attrib_2,attrib_2[1],attrib_2[2],names_3,attrib_3,attrib_3[1],attrib_3[2],names_4,attrib_4,attrib_4[1],attrib_4[2],names_5,attrib_5,attrib_5[1],attrib_5[2],names_6,attrib_6,attrib_6[1],attrib_6[2],names_7,attrib_7,attrib_7[1],attrib_7[2],names_8,attrib_8,attrib_8[1],attrib_8[2],names_9,attrib_9,attrib_9[1],attrib_9[2],names_10,attrib_10,attrib_10[1],attrib_10[2],names_11,attrib_11,attrib_11[1],attrib_11[2],names_12,attrib_12,attrib_12[1],attrib_12[2],names_13,attrib_13,attrib_13[1],attrib_13[2],names_14,attrib_14,attrib_14[1],attrib_14[2],names_15,attrib_15,attrib_15[1],attrib_15[2],names_16,attrib_16,attrib_16[1],attrib_16[2],names_17,attrib_17,attrib_17[1],attrib_17[2],names_18,attrib_18,attrib_18[1],attrib_18[2],names_19,attrib_19,attrib_19[1],attrib_19[2],names_20,attrib_20,attrib_20[1],attrib_20[2],names_21,attrib_21,attrib_21[1],attrib_21[2],names_22,attrib_22,attrib_22[1],attrib_22[2],names_23,attrib_23,attrib_23[1],attrib_23[2],names_24,attrib_24,attrib_24[1],attrib_24[2],names_25,attrib_25,attrib_25[1],attrib_25[2],names_26,attrib_26,attrib_26[1],attrib_26[2],names_27,attrib_27,attrib_27[1],attrib_27[2],names_28,attrib_28,attrib_28[1],attrib_28[2],names_29,attrib_29,attrib_29[1],attrib_29[2],names_30,attrib_30,attrib_30[1],attrib_30[2],names_31,attrib_31,attrib_31[1],attrib_31[2],names_32,attrib_32,attrib_32[1],attrib_32[2],names_33,attrib_33,attrib_33[1],attrib_33[2],
,2,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,3,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,4,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,5,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,6,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,7,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,8,"System: Server Status","","",0,0,0,0,0,0,"Offline",8,0,0,"Online",15,0,0,"Backup",12,0,0,"Failover",13,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,9,"All: Status","","",0,0,0,0,0,0,"OFF",13,0,0,"ON",11,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
,10,"RSVD: OpenAGC","","",0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,
